States/Union Territories,Higher Secondary (11-12),Secondary (9-10),Upper Primary (6-8), Primary (1 to 5),Year
Andhra Pradesh,34,32,26,31,2008-09
Arunachal Pradesh,29,23,25,22,2008-09
Assam,27,20,20,30,2008-09
Bihar,46,56,51,72,2008-09
Chhattisgarh,28,27,30,38,2008-09
Goa,21,18,30,26,2008-09
Gujarat,39,31,35,NA,2008-09
Haryana,35,44,41,58,2008-09
Himachal Pradesh,25,33,15,17,2008-09
Jammu and Kashmir,14,14,14,34,2008-09
Jharkhand,47,60,55,73,2008-09
Karnataka,41,25,30,19,2008-09
Kerala,27,26,26,25,2008-09
Madhya Pradesh,24,32,33,41,2008-09
Maharashtra,39,32,32,30,2008-09
Manipur,23,27,22,33,2008-09
Meghalaya,18,24,15,47,2008-09
Mizoram,14,11,8,17,2008-09
Nagaland,31,24,15,20,2008-09
Odisha,18,22,34,39,2008-09
Punjab,33,30,18,39,2008-09
Rajasthan,28,22,29,44,2008-09
Sikkim,12,8,14,13,2008-09
Tamil Nadu,39,38,47,37,2008-09
Tripura,25,25,18,27,2008-09
Uttar Pradesh,65,58,77,77,2008-09
Uttarakhand,24,14,22,23,2008-09
West Bengal,53,59,55,44,2008-09
Andaman and Nicobar Islands,20,17,16,15,2008-09
Chandigarh,30,35,36,31,2008-09
Dadra and Nagar Haveli,36,26,23,43,2008-09
Daman and Diu,45,18,27,52,2008-09
Delhi,31,34,31,43,2008-09
Lakshadweep,31,13,15,28,2008-09
Puducherry,27,24,21,20,2008-09
INDIA,38,32,34,45,2008-09
Andhra Pradesh,34,29,27,32,2009-10
Arunachal Pradesh,27,21,23,22,2009-10
Assam,26,22,17,28,2009-10
Bihar,33,59,53,80,2009-10
Chhattisgarh,21,39,23,29,2009-10
Goa,20,18,29,26,2009-10
Gujarat,41,29,35,NA,2009-10
Haryana,25,26,41,52,2009-10
Himachal Pradesh,22,23,13,15,2009-10
Jammu and Kashmir,14,14,15,22,2009-10
Jharkhand,NA,NA,NA,NA,2009-10
Karnataka,37,24,29,18,2009-10
Kerala,37,27,26,24,2009-10
Madhya Pradesh,24,32,34,37,2009-10
Maharashtra,39,32,32,29,2009-10
Manipur,23,27,22,33,2009-10
Meghalaya,13,11,17,57,2009-10
Mizoram,14,13,9,18,2009-10
Nagaland,31,24,15,20,2009-10
Odisha,16,22,27,33,2009-10
Punjab,37,29,16,29,2009-10
Rajasthan,29,22,28,44,2009-10
Sikkim,15,8,15,14,2009-10
Tamil Nadu,43,38,35,31,2009-10
Tripura,26,25,16,25,2009-10
Uttar Pradesh,64,57,78,67,2009-10
Uttarakhand,15,18,27,24,2009-10
West Bengal,62,51,33,34,2009-10
Andaman and Nicobar Islands,19,16,14,14,2009-10
Chandigarh,26,38,45,23,2009-10
Dadra and Nagar Haveli,29,19,33,40,2009-10
Daman and Diu,45,18,27,52,2009-10
Delhi,32,33,30,40,2009-10
Lakshadweep,33,12,14,27,2009-10
Puducherry,27,23,19,19,2009-10
INDIA,39,30,33,41,2009-10
Andhra Pradesh,32,26,25,31,2010-11
Arunachal Pradesh,27,21,24,22,2010-11
Assam,12,26,17,28,2010-11
Bihar,39,68,51,76,2010-11
Chhattisgarh,23,39,24,29,2010-11
Goa,21,19,31,25,2010-11
Gujarat,52,33,35,NA,2010-11
Haryana,29,26,38,51,2010-11
Himachal Pradesh,24,24,14,15,2010-11
Jammu and Kashmir,14,14,15,23,2010-11
Jharkhand,NA,NA,NA,NA,2010-11
Karnataka,37,21,27,17,2010-11
Kerala,26,25,25,23,2010-11
Madhya Pradesh,21,39,39,38,2010-11
Maharashtra,40,32,32,29,2010-11
Manipur,25,28,22,30,2010-11
Meghalaya,13,11,17,57,2010-11
Mizoram,15,13,9,20,2010-11
Nagaland,31,24,15,20,2010-11
Odisha,16,23,26,33,2010-11
Punjab,28,23,15,26,2010-11
Rajasthan,30,22,26,46,2010-11
Sikkim,16,10,16,14,2010-11
Tamil Nadu,42,35,32,27,2010-11
Tripura,21,21,16,15,2010-11
Uttar Pradesh,46,69,69,79,2010-11
Uttarakhand,15,17,27,24,2010-11
West Bengal,46,46,49,45,2010-11
Andaman and Nicobar Islands,19,15,13,13,2010-11
Chandigarh,37,42,73,45,2010-11
Dadra and Nagar Haveli,27,25,39,39,2010-11
Daman and Diu,26,23,32,33,2010-11
Delhi,32,34,30,39,2010-11
Lakshadweep,31,11,17,23,2010-11
Puducherry,27,24,17,17,2010-11
INDIA,34,30,33,43,2010-11
Andhra Pradesh,28,26,22,30,2011-2012
Arunachal Pradesh,28,23,23,25,2011-2012
Assam,14,20,17,28,2011-2012
Bihar,45,71,47,82,2011-2012
Chhattisgarh,22,43,24,28,2011-2012
Goa,21,20,30,25,2011-2012
Gujarat,33,45,36,NA,2011-2012
Haryana,29,26,38,51,2011-2012
Himachal Pradesh,22,19,11,15,2011-2012
Jammu and Kashmir,14,14,15,22,2011-2012
Jharkhand,NA,NA,NA,NA,2011-2012
Karnataka,37,22,27,17,2011-2012
Kerala,26,24,25,22,2011-2012
Madhya Pradesh,23,39,39,38,2011-2012
Maharashtra,40,32,31,29,2011-2012
Manipur,22,19,29,25,2011-2012
Meghalaya,15,8,12,32,2011-2012
Mizoram,15,9,9,14,2011-2012
Nagaland,31,27,15,20,2011-2012
Odisha,17,25,26,32,2011-2012
Punjab,37,34,28,33,2011-2012
Rajasthan,28,22,25,48,2011-2012
Sikkim,17,15,10,7,2011-2012
Tamil Nadu,42,35,26,26,2011-2012
Tripura,26,20,15,15,2011-2012
Uttar Pradesh,45,69,43,73,2011-2012
Uttarakhand,21,16,28,23,2011-2012
West Bengal,53,113,255,30,2011-2012
Andaman and Nicobar Islands,19,14,13,14,2011-2012
Chandigarh,38,NA,30,31,2011-2012
Dadra and Nagar Haveli,36,26,36,42,2011-2012
Daman and Diu,41,21,34,33,2011-2012
