,India/State /UT,Sub-Category,Value,Category
0,India,Number of Teachers - All Types of Management - Total,9507123,All Types of Management and School Category
1,Andaman and Nicobar Islands,Number of Teachers - All Types of Management - Total,5281,All Types of Management and School Category
2,Andhra Pradesh,Number of Teachers - All Types of Management - Total,320724,All Types of Management and School Category
3,Arunachal Pradesh,Number of Teachers - All Types of Management - Total,23707,All Types of Management and School Category
4,Assam,Number of Teachers - All Types of Management - Total,352944,All Types of Management and School Category
5,Bihar,Number of Teachers - All Types of Management - Total,582876,All Types of Management and School Category
6,Chandigarh,Number of Teachers - All Types of Management - Total,9345,All Types of Management and School Category
7,Chhattisgarh,Number of Teachers - All Types of Management - Total,260782,All Types of Management and School Category
8,Dadra and Nagar Haveli and Daman and Diu,Number of Teachers - All Types of Management - Total,4489,All Types of Management and School Category
9,Delhi,Number of Teachers - All Types of Management - Total,151600,All Types of Management and School Category
10,Goa,Number of Teachers - All Types of Management - Total,13836,All Types of Management and School Category
11,Gujarat,Number of Teachers - All Types of Management - Total,378118,All Types of Management and School Category
12,Haryana,Number of Teachers - All Types of Management - Total,237594,All Types of Management and School Category
13,Himachal Pradesh,Number of Teachers - All Types of Management - Total,100137,All Types of Management and School Category
14,Jammu and Kashmir,Number of Teachers - All Types of Management - Total,167106,All Types of Management and School Category
15,Jharkhand,Number of Teachers - All Types of Management - Total,210418,All Types of Management and School Category
16,Karnataka,Number of Teachers - All Types of Management - Total,431386,All Types of Management and School Category
17,Kerala,Number of Teachers - All Types of Management - Total,268473,All Types of Management and School Category
18,Ladakh,Number of Teachers - All Types of Management - Total,6155,All Types of Management and School Category
19,Lakshadweep,Number of Teachers - All Types of Management - Total,806,All Types of Management and School Category
20,Madhya Pradesh,Number of Teachers - All Types of Management - Total,601208,All Types of Management and School Category
21,Maharashtra,Number of Teachers - All Types of Management - Total,748589,All Types of Management and School Category
22,Manipur,Number of Teachers - All Types of Management - Total,42684,All Types of Management and School Category
23,Meghalaya,Number of Teachers - All Types of Management - Total,55160,All Types of Management and School Category
24,Mizoram,Number of Teachers - All Types of Management - Total,23366,All Types of Management and School Category
25,Nagaland,Number of Teachers - All Types of Management - Total,31402,All Types of Management and School Category
26,Odisha,Number of Teachers - All Types of Management - Total,331336,All Types of Management and School Category
27,Puducherry,Number of Teachers - All Types of Management - Total,12355,All Types of Management and School Category
28,Punjab,Number of Teachers - All Types of Management - Total,257134,All Types of Management and School Category
29,Rajasthan,Number of Teachers - All Types of Management - Total,724525,All Types of Management and School Category
30,Sikkim,Number of Teachers - All Types of Management - Total,13613,All Types of Management and School Category
31,Tamil Nadu,Number of Teachers - All Types of Management - Total,569920,All Types of Management and School Category
32,Telangana,Number of Teachers - All Types of Management - Total,320894,All Types of Management and School Category
33,Tripura,Number of Teachers - All Types of Management - Total,36433,All Types of Management and School Category
34,Uttar Pradesh,Number of Teachers - All Types of Management - Total,1507828,All Types of Management and School Category
35,Uttarakhand,Number of Teachers - All Types of Management - Total,123212,All Types of Management and School Category
36,West Bengal,Number of Teachers - All Types of Management - Total,581687,All Types of Management and School Category
