Sl. No.,State/UT,Approved
1,Andaman and Nicobar Islands,1478.9
2,Andhra Pradesh,49240.2
3,Arunachal Pradesh,15128.5
4,Assam,65690.4
5,Bihar,360438.5
6,Chandigarh,6561.2
7,Chattishgarh,7552.6
8,Delhi,5197.9
9,Daman and Diu - Dadar and Nagar Haveli,3045
10,Goa,329.9
11,Gujarat,74898.3
12,Haryana,40249.1
13,Himachal Pradesh,10650
14,Jammu and Kashmir,46160.9
15,Jharkhand,87891
16,Karnataka,32806.2
17,Kerala,1789.7
18,Ladakh,0
19,Lakshadweep,78.6
20,Madhya Pradesh,198144.2
21,Maharashtra,8580.6
22,Manipur,8850.8
23,Meghalaya,27691.2
24,Mizoram,7383.7
25,Nagaland,10179.1
26,Odisha,132758
27,Puducherry,0
28,Punjab,26719.8
29,Rajasthan,213643.8
30,Sikkim,1461.6
31,Tamil Nadu,117821.5
32,Telangana,39473.1
33,Tripura,10866
34,Uttar Pradesh,401060.9
35,Uttarakhand,12700.5
36,West Bengal,123169.6
Total,Total,2149691.3
