State/UT,ICT Labs Sanctioned,Smart Classrooms Sanctioned,TABs Sanctioned to Teachers,Category
Andaman and Nicobar Islands,137,1531,1378,"(ICT) Labs, Smart Classrooms and Tabs Sanctioned for Teacher Resource Package "
Andhra Pradesh,8635,107,70075,"(ICT) Labs, Smart Classrooms and Tabs Sanctioned for Teacher Resource Package "
Arunachal Pradesh,426,3883,2488,"(ICT) Labs, Smart Classrooms and Tabs Sanctioned for Teacher Resource Package "
Assam,6903,2865,53889,"(ICT) Labs, Smart Classrooms and Tabs Sanctioned for Teacher Resource Package "
Bihar,5310,184,146138,"(ICT) Labs, Smart Classrooms and Tabs Sanctioned for Teacher Resource Package "
Chandigarh,106,5338,770,"(ICT) Labs, Smart Classrooms and Tabs Sanctioned for Teacher Resource Package "
Chhattisgarh,1989,1018,43658,"(ICT) Labs, Smart Classrooms and Tabs Sanctioned for Teacher Resource Package "
Dadra and Nagar Haveli and Daman and Diu,1181,135,651,"(ICT) Labs, Smart Classrooms and Tabs Sanctioned for Teacher Resource Package "
Delhi,107,0,20950,"(ICT) Labs, Smart Classrooms and Tabs Sanctioned for Teacher Resource Package "
Goa,460,6150,1489,"(ICT) Labs, Smart Classrooms and Tabs Sanctioned for Teacher Resource Package "
Gujarat,7199,2921,0,"(ICT) Labs, Smart Classrooms and Tabs Sanctioned for Teacher Resource Package "
Haryana,4022,2248,36199,"(ICT) Labs, Smart Classrooms and Tabs Sanctioned for Teacher Resource Package "
Himachal Pradesh,3317,1352,17510,"(ICT) Labs, Smart Classrooms and Tabs Sanctioned for Teacher Resource Package "
Jammu and Kashmir,3037,640,40522,"(ICT) Labs, Smart Classrooms and Tabs Sanctioned for Teacher Resource Package "
Jharkhand,3589,1768,28945,"(ICT) Labs, Smart Classrooms and Tabs Sanctioned for Teacher Resource Package "
Karnataka,8323,372,138222,"(ICT) Labs, Smart Classrooms and Tabs Sanctioned for Teacher Resource Package "
Kerala,2409,46,13997,"(ICT) Labs, Smart Classrooms and Tabs Sanctioned for Teacher Resource Package "
Ladakh,124,0,1695,"(ICT) Labs, Smart Classrooms and Tabs Sanctioned for Teacher Resource Package "
Lakshadweep,28,1358,262,"(ICT) Labs, Smart Classrooms and Tabs Sanctioned for Teacher Resource Package "
Madhya Pradesh,2822,3292,172956,"(ICT) Labs, Smart Classrooms and Tabs Sanctioned for Teacher Resource Package "
Maharashtra,9826,451,6140,"(ICT) Labs, Smart Classrooms and Tabs Sanctioned for Teacher Resource Package "
Manipur,734,14,10876,"(ICT) Labs, Smart Classrooms and Tabs Sanctioned for Teacher Resource Package "
Meghalaya,382,229,0,"(ICT) Labs, Smart Classrooms and Tabs Sanctioned for Teacher Resource Package "
Mizoram,507,594,550,"(ICT) Labs, Smart Classrooms and Tabs Sanctioned for Teacher Resource Package "
Nagaland,738,6974,0,"(ICT) Labs, Smart Classrooms and Tabs Sanctioned for Teacher Resource Package "
Odisha,8317,145,96718,"(ICT) Labs, Smart Classrooms and Tabs Sanctioned for Teacher Resource Package "
Puducherry,176,3521,1607,"(ICT) Labs, Smart Classrooms and Tabs Sanctioned for Teacher Resource Package "
Punjab,4963,9207,12444,"(ICT) Labs, Smart Classrooms and Tabs Sanctioned for Teacher Resource Package "
Rajasthan,8816,270,26178,"(ICT) Labs, Smart Classrooms and Tabs Sanctioned for Teacher Resource Package "
Sikkim,372,865,3276,"(ICT) Labs, Smart Classrooms and Tabs Sanctioned for Teacher Resource Package "
Tamil Nadu,9815,3010,79723,"(ICT) Labs, Smart Classrooms and Tabs Sanctioned for Teacher Resource Package "
Telangana,4975,812,34257,"(ICT) Labs, Smart Classrooms and Tabs Sanctioned for Teacher Resource Package "
Tripura,1245,18987,9790,"(ICT) Labs, Smart Classrooms and Tabs Sanctioned for Teacher Resource Package "
Uttar Pradesh,4798,1833,209863,"(ICT) Labs, Smart Classrooms and Tabs Sanctioned for Teacher Resource Package "
Uttarakhand,865,0,22050,"(ICT) Labs, Smart Classrooms and Tabs Sanctioned for Teacher Resource Package "
West Bengal,3961,0,177299,"(ICT) Labs, Smart Classrooms and Tabs Sanctioned for Teacher Resource Package "
INDIA,120614,82120,1482565,"(ICT) Labs, Smart Classrooms and Tabs Sanctioned for Teacher Resource Package "
