State/UT,Total Schools - All Management,Total Schools - Government.,Total Schools - Government. Aided,Total Schools - Pvt. Unaided,Total Schools - Others,Laptop/Notebook Availability - All Management,Laptop/Notebook Availability - Government.,Laptop/Notebook Availability - Government. Aided,Laptop/Notebook Availability - Pvt. Unaided,Laptop/Notebook Availability - Others,Category
Andaman and Nicobar Islands,416,342,2,72,0,33,9,0,24,0,Number of Schools having Functional LaptopNotebook 
Andhra Pradesh,61948,45137,1542,15058,211,9567,3144,92,6309,22,Number of Schools having Functional LaptopNotebook 
Arunachal Pradesh,3603,2985,68,503,47,446,139,40,248,19,Number of Schools having Functional LaptopNotebook 
Assam,60859,45490,3841,5852,5676,2634,1171,69,1362,32,Number of Schools having Functional LaptopNotebook 
Bihar,93165,75558,742,8097,8768,4812,302,27,2834,1649,Number of Schools having Functional LaptopNotebook 
Chandigarh,233,123,7,76,27,94,14,4,59,17,Number of Schools having Functional LaptopNotebook 
Chhattisgarh,56512,48743,417,7063,289,4815,2876,43,1886,10,Number of Schools having Functional LaptopNotebook 
Dadra and Nagar Haveli and Daman and Diu,460,388,8,63,1,100,49,6,44,1,Number of Schools having Functional LaptopNotebook 
Delhi,5619,2762,247,2610,0,2030,238,45,1747,0,Number of Schools having Functional LaptopNotebook 
Goa,1510,814,557,139,0,467,40,336,91,0,Number of Schools having Functional LaptopNotebook 
Gujarat,53851,34699,5590,13559,3,13957,7630,900,5427,0,Number of Schools having Functional LaptopNotebook 
Haryana,23726,14562,16,8261,887,5628,261,3,4966,398,Number of Schools having Functional LaptopNotebook 
Himachal Pradesh,18028,15380,0,2646,2,1288,145,0,1143,0,Number of Schools having Functional LaptopNotebook 
Jammu and Kashmir,28805,23173,1,5526,105,4061,1712,0,2323,26,Number of Schools having Functional LaptopNotebook 
Jharkhand,44855,35840,1175,1559,6281,3711,615,128,820,2148,Number of Schools having Functional LaptopNotebook 
Karnataka,76450,49679,7110,19650,11,14044,5484,1155,7402,3,Number of Schools having Functional LaptopNotebook 
Kerala,16240,5010,7183,3164,883,14458,4676,6968,2298,516,Number of Schools having Functional LaptopNotebook 
Ladakh,978,838,28,112,0,164,124,2,38,0,Number of Schools having Functional LaptopNotebook 
Lakshadweep,38,38,0,0,0,28,28,0,0,0,Number of Schools having Functional LaptopNotebook 
Madhya Pradesh,125582,92695,740,30345,1802,12801,2761,69,9841,130,Number of Schools having Functional LaptopNotebook 
Maharashtra,109605,65639,24037,19268,661,22516,5482,6718,10031,285,Number of Schools having Functional LaptopNotebook 
Manipur,4617,2889,583,1010,135,662,73,12,543,34,Number of Schools having Functional LaptopNotebook 
Meghalaya,14600,7783,4172,2120,525,396,59,136,161,40,Number of Schools having Functional LaptopNotebook 
Mizoram,3911,2563,230,1034,84,221,77,17,117,10,Number of Schools having Functional LaptopNotebook 
Nagaland,2718,1960,0,757,1,410,70,0,340,0,Number of Schools having Functional LaptopNotebook 
Odisha,62291,49072,5807,6104,1308,2798,488,332,1695,283,Number of Schools having Functional LaptopNotebook 
Puducherry,736,422,33,281,0,217,60,17,140,0,Number of Schools having Functional LaptopNotebook 
Punjab,27701,19259,450,7978,14,6390,1809,50,4527,4,Number of Schools having Functional LaptopNotebook 
Rajasthan,106373,68948,0,34826,2599,21740,10190,0,11520,30,Number of Schools having Functional LaptopNotebook 
Sikkim,1259,864,19,376,0,765,574,4,187,0,Number of Schools having Functional LaptopNotebook 
Tamil Nadu,58801,37636,8323,12396,446,8185,30,1638,6312,205,Number of Schools having Functional LaptopNotebook 
Telangana,43083,30023,700,12193,167,2396,341,28,2025,2,Number of Schools having Functional LaptopNotebook 
Tripura,4929,4262,43,363,261,780,639,12,119,10,Number of Schools having Functional LaptopNotebook 
Uttar Pradesh,258054,137024,8113,97808,15109,21913,1701,763,18356,1093,Number of Schools having Functional LaptopNotebook 
Uttarakhand,22815,16484,608,5225,498,2739,519,74,2075,71,Number of Schools having Functional LaptopNotebook 
West Bengal,94744,83302,88,9750,1604,4180,2516,18,1505,141,Number of Schools having Functional LaptopNotebook 
INDIA,1489115,1022386,82480,335844,48405,191446,56046,19706,108515,7179,Number of Schools having Functional LaptopNotebook 
