State/UT,All Management,Government., Government. Aided,Pvt. Unaided,Others,Category
Andaman and Nicobar Islands,7.9,2.6,0,33.3,0,Percentage of Schools having Functional LaptopNotebook 
Andhra Pradesh,15.4,7,6,41.9,10.4,Percentage of Schools having Functional LaptopNotebook 
Arunachal Pradesh,12.4,4.7,58.8,49.3,40.4,Percentage of Schools having Functional LaptopNotebook 
Assam,4.3,2.6,1.8,23.3,0.6,Percentage of Schools having Functional LaptopNotebook 
Bihar,5.2,0.4,3.6,35,18.8,Percentage of Schools having Functional LaptopNotebook 
Chandigarh,40.3,11.4,57.1,77.6,63,Percentage of Schools having Functional LaptopNotebook 
Chhattisgarh,8.5,5.9,10.3,26.7,3.5,Percentage of Schools having Functional LaptopNotebook 
Dadra and Nagar Haveli and Daman and Diu,21.7,12.6,75,69.8,100,Percentage of Schools having Functional LaptopNotebook 
Delhi,36.1,8.6,18.2,66.9,0,Percentage of Schools having Functional LaptopNotebook 
Goa,30.9,4.9,60.3,65.5,0,Percentage of Schools having Functional LaptopNotebook 
Gujarat,25.9,22,16.1,40,0,Percentage of Schools having Functional LaptopNotebook 
Haryana,23.7,1.8,18.8,60.1,44.9,Percentage of Schools having Functional LaptopNotebook 
Himachal Pradesh,7.1,0.9,0,43.2,0,Percentage of Schools having Functional LaptopNotebook 
Jammu and Kashmir,14.1,7.4,0,42,24.8,Percentage of Schools having Functional LaptopNotebook 
Jharkhand,8.3,1.7,10.9,52.6,34.2,Percentage of Schools having Functional LaptopNotebook 
Karnataka,18.4,11,16.2,37.7,27.3,Percentage of Schools having Functional LaptopNotebook 
Kerala,89,93.3,97,72.6,58.4,Percentage of Schools having Functional LaptopNotebook 
Ladakh,16.8,14.8,7.1,33.9,0,Percentage of Schools having Functional LaptopNotebook 
Lakshadweep,73.7,73.7,0,0,0,Percentage of Schools having Functional LaptopNotebook 
Madhya Pradesh,10.2,3,9.3,32.4,7.2,Percentage of Schools having Functional LaptopNotebook 
Maharashtra,20.5,8.4,28,52.1,43.1,Percentage of Schools having Functional LaptopNotebook 
Manipur,14.3,2.5,2.1,53.8,25.2,Percentage of Schools having Functional LaptopNotebook 
Meghalaya,2.7,0.8,3.3,7.6,7.6,Percentage of Schools having Functional LaptopNotebook 
Mizoram,5.7,3,7.4,11.3,11.9,Percentage of Schools having Functional LaptopNotebook 
Nagaland,15.1,3.6,0,44.9,0,Percentage of Schools having Functional LaptopNotebook 
Odisha,4.5,1,5.7,27.8,21.6,Percentage of Schools having Functional LaptopNotebook 
Puducherry,29.5,14.2,51.5,49.8,0,Percentage of Schools having Functional LaptopNotebook 
Punjab,23.1,9.4,11.1,56.7,28.6,Percentage of Schools having Functional LaptopNotebook 
Rajasthan,20.4,14.8,0,33.1,1.2,Percentage of Schools having Functional LaptopNotebook 
Sikkim,60.8,66.4,21.1,49.7,0,Percentage of Schools having Functional LaptopNotebook 
Tamil Nadu,13.9,0.1,19.7,50.9,46,Percentage of Schools having Functional LaptopNotebook 
Telangana,5.6,1.1,4,16.6,1.2,Percentage of Schools having Functional LaptopNotebook 
Tripura,15.8,15,27.9,32.8,3.8,Percentage of Schools having Functional LaptopNotebook 
Uttar Pradesh,8.5,1.2,9.4,18.8,7.2,Percentage of Schools having Functional LaptopNotebook 
Uttarakhand,12,3.2,12.2,39.7,14.3,Percentage of Schools having Functional LaptopNotebook 
West Bengal,4.4,3,20.5,15.4,8.8,Percentage of Schools having Functional LaptopNotebook 
INDIA,12.9,5.5,23.9,32.3,14.8,Percentage of Schools having Functional LaptopNotebook 
