State/UT,Schools with Mobiles - All Management,Schools with Mobiles - Government.,Schools with Mobiles - Government. Aided,Schools with Mobiles - - Pvt. Unaided,Schools with Mobiles -  Others,Category
Andaman and Nicobar Islands,9.6,5,0,31.9,0,Percentage of  Schools having Functional Mobile Phones Used for Teaching Purposes
Andhra Pradesh,19.3,16.2,16.3,29.2,11.4,Percentage of  Schools having Functional Mobile Phones Used for Teaching Purposes
Arunachal Pradesh,4.2,0.8,20.6,21.1,12.8,Percentage of  Schools having Functional Mobile Phones Used for Teaching Purposes
Assam,6.2,6.8,2.1,9.8,0.9,Percentage of  Schools having Functional Mobile Phones Used for Teaching Purposes
Bihar,3.5,0.8,2.8,20.3,11.7,Percentage of  Schools having Functional Mobile Phones Used for Teaching Purposes
Chandigarh,18,9.8,14.3,29,25.9,Percentage of  Schools having Functional Mobile Phones Used for Teaching Purposes
Chhattisgarh,5.7,3.4,7.4,21.6,4.2,Percentage of  Schools having Functional Mobile Phones Used for Teaching Purposes
Dadra and Nagar Haveli and Daman and Diu,18.7,16.8,12.5,31.8,0,Percentage of  Schools having Functional Mobile Phones Used for Teaching Purposes
Delhi,34.1,22.3,32.4,46.7,0,Percentage of  Schools having Functional Mobile Phones Used for Teaching Purposes
Goa,34.8,44.7,21.7,28.8,0,Percentage of  Schools having Functional Mobile Phones Used for Teaching Purposes
Gujarat,32.5,35,23.9,29.6,0,Percentage of  Schools having Functional Mobile Phones Used for Teaching Purposes
Haryana,17.7,6.5,12.5,35.8,33.9,Percentage of  Schools having Functional Mobile Phones Used for Teaching Purposes
Himachal Pradesh,8.5,7.1,0,16.9,0,Percentage of  Schools having Functional Mobile Phones Used for Teaching Purposes
Jammu and Kashmir,7.2,3.6,0,22.5,17.1,Percentage of  Schools having Functional Mobile Phones Used for Teaching Purposes
Jharkhand,6.9,4.5,6,23.1,16.9,Percentage of  Schools having Functional Mobile Phones Used for Teaching Purposes
Karnataka,11.3,8,16.3,17.7,18.2,Percentage of  Schools having Functional Mobile Phones Used for Teaching Purposes
Kerala,23.7,18.2,26.5,25.8,26.1,Percentage of  Schools having Functional Mobile Phones Used for Teaching Purposes
Ladakh,2.2,1.4,0,8,0,Percentage of  Schools having Functional Mobile Phones Used for Teaching Purposes
Lakshadweep,10.5,10.5,0,0,0,Percentage of  Schools having Functional Mobile Phones Used for Teaching Purposes
Madhya Pradesh,12.4,7.3,13.5,28.2,7.9,Percentage of  Schools having Functional Mobile Phones Used for Teaching Purposes
Maharashtra,33.3,31.1,39.5,33.3,24.7,Percentage of  Schools having Functional Mobile Phones Used for Teaching Purposes
Manipur,6.7,3.1,5.5,17.5,7.4,Percentage of  Schools having Functional Mobile Phones Used for Teaching Purposes
Meghalaya,1.8,1.3,2,3.1,2.7,Percentage of  Schools having Functional Mobile Phones Used for Teaching Purposes
Mizoram,0.2,0.2,0,0.5,0,Percentage of  Schools having Functional Mobile Phones Used for Teaching Purposes
Nagaland,8.6,5,0,17.8,100,Percentage of  Schools having Functional Mobile Phones Used for Teaching Purposes
Odisha,6.9,4.4,5.6,24.7,24,Percentage of  Schools having Functional Mobile Phones Used for Teaching Purposes
Puducherry,24.9,19.7,24.2,32.7,0,Percentage of  Schools having Functional Mobile Phones Used for Teaching Purposes
Punjab,28,26.6,14.7,32,21.4,Percentage of  Schools having Functional Mobile Phones Used for Teaching Purposes
Rajasthan,9.6,4.7,0,19.8,3.2,Percentage of  Schools having Functional Mobile Phones Used for Teaching Purposes
Sikkim,11.8,8,0,21,0,Percentage of  Schools having Functional Mobile Phones Used for Teaching Purposes
Tamil Nadu,0,0,0,0,0,Percentage of  Schools having Functional Mobile Phones Used for Teaching Purposes
Telangana,7.4,7.6,6.9,7.1,1.2,Percentage of  Schools having Functional Mobile Phones Used for Teaching Purposes
Tripura,6.9,6.1,16.3,17.4,5.4,Percentage of  Schools having Functional Mobile Phones Used for Teaching Purposes
Uttar Pradesh,8.6,7.1,8,11.4,4.6,Percentage of  Schools having Functional Mobile Phones Used for Teaching Purposes
Uttarakhand,10.5,7,10.5,21.6,7.8,Percentage of  Schools having Functional Mobile Phones Used for Teaching Purposes
West Bengal,99.9,99.9,98.9,99.6,99.8,Percentage of  Schools having Functional Mobile Phones Used for Teaching Purposes
INDIA,17.7,16.6,19.5,21.5,12,Percentage of  Schools having Functional Mobile Phones Used for Teaching Purposes
