State/UT,Schools having PCs - All Management,Schools having PCs - Government.,Schools having PCs - Government. Aided,Schools having PCs - Pvt. Unaided,Schools having PCs - Others,Category
Andaman and Nicobar Islands,13.9,10.8,0,29.2,0, Percentage of Schools having PCs with Functional Integrated Teaching Learning Devices 
Andhra Pradesh,8.8,2.6,4,27.9,9.5, Percentage of Schools having PCs with Functional Integrated Teaching Learning Devices 
Arunachal Pradesh,6.5,4,10.3,20.3,10.6, Percentage of Schools having PCs with Functional Integrated Teaching Learning Devices 
Assam,1.7,1.2,0.3,7.5,0.1, Percentage of Schools having PCs with Functional Integrated Teaching Learning Devices 
Bihar,1.9,0.2,1.5,13,5.4, Percentage of Schools having PCs with Functional Integrated Teaching Learning Devices 
Chandigarh,39.9,34.2,42.9,52.6,29.6, Percentage of Schools having PCs with Functional Integrated Teaching Learning Devices 
Chhattisgarh,2.7,1.5,2.9,10.7,1.4, Percentage of Schools having PCs with Functional Integrated Teaching Learning Devices 
Dadra and Nagar Haveli and Daman and Diu,11.1,5.4,37.5,42.9,0, Percentage of Schools having PCs with Functional Integrated Teaching Learning Devices 
Delhi,35.4,28.6,22.3,43.8,0, Percentage of Schools having PCs with Functional Integrated Teaching Learning Devices 
Goa,10.3,2.2,19.6,20.1,0, Percentage of Schools having PCs with Functional Integrated Teaching Learning Devices 
Gujarat,22.7,14.6,34.2,38.5,0, Percentage of Schools having PCs with Functional Integrated Teaching Learning Devices 
Haryana,11.5,4.7,12.5,23.5,11.3, Percentage of Schools having PCs with Functional Integrated Teaching Learning Devices 
Himachal Pradesh,7.4,5.1,0,21.1,0, Percentage of Schools having PCs with Functional Integrated Teaching Learning Devices 
Jammu and Kashmir,4.7,2.7,0,12.8,3.8, Percentage of Schools having PCs with Functional Integrated Teaching Learning Devices 
Jharkhand,2.9,1.5,2.3,21.9,6.1, Percentage of Schools having PCs with Functional Integrated Teaching Learning Devices 
Karnataka,8.4,3,8.2,22,0, Percentage of Schools having PCs with Functional Integrated Teaching Learning Devices 
Kerala,13,8.3,7.6,32.1,15.3, Percentage of Schools having PCs with Functional Integrated Teaching Learning Devices 
Ladakh,6.7,5.3,0,18.8,0, Percentage of Schools having PCs with Functional Integrated Teaching Learning Devices 
Lakshadweep,26.3,26.3,0,0,0, Percentage of Schools having PCs with Functional Integrated Teaching Learning Devices 
Madhya Pradesh,2.9,0.5,3.8,10,3.1, Percentage of Schools having PCs with Functional Integrated Teaching Learning Devices 
Maharashtra,14,5.8,23.2,30,18.3, Percentage of Schools having PCs with Functional Integrated Teaching Learning Devices 
Manipur,4.5,1,0.3,16.9,4.4, Percentage of Schools having PCs with Functional Integrated Teaching Learning Devices 
Meghalaya,1.9,0.8,3,3.4,3.6, Percentage of Schools having PCs with Functional Integrated Teaching Learning Devices 
Mizoram,2.2,1.8,6.1,2.2,2.4, Percentage of Schools having PCs with Functional Integrated Teaching Learning Devices 
Nagaland,6,2.5,0,15.3,0, Percentage of Schools having PCs with Functional Integrated Teaching Learning Devices 
Odisha,3.4,1.6,2.6,15.9,12.4, Percentage of Schools having PCs with Functional Integrated Teaching Learning Devices 
Puducherry,22.8,14.9,30.3,33.8,0, Percentage of Schools having PCs with Functional Integrated Teaching Learning Devices 
Punjab,21.1,19.1,8.4,26.7,7.1, Percentage of Schools having PCs with Functional Integrated Teaching Learning Devices 
Rajasthan,6,3.1,0,11.9,1.5, Percentage of Schools having PCs with Functional Integrated Teaching Learning Devices 
Sikkim,18.7,18.3,10.5,20,0, Percentage of Schools having PCs with Functional Integrated Teaching Learning Devices 
Tamil Nadu,16.4,11.8,9.5,34.7,24.4, Percentage of Schools having PCs with Functional Integrated Teaching Learning Devices 
Telangana,11.7,13.9,3.6,7.1,1.2, Percentage of Schools having PCs with Functional Integrated Teaching Learning Devices 
Tripura,2.8,1.7,7,16.3,1.9, Percentage of Schools having PCs with Functional Integrated Teaching Learning Devices 
Uttar Pradesh,2.2,0.4,2.4,5,0.6, Percentage of Schools having PCs with Functional Integrated Teaching Learning Devices 
Uttarakhand,5,2,3.5,15,1.6, Percentage of Schools having PCs with Functional Integrated Teaching Learning Devices 
West Bengal,4.1,3.5,12.5,8.8,3.5, Percentage of Schools having PCs with Functional Integrated Teaching Learning Devices 
INDIA,6.7,3.6,12.5,15,3.8, Percentage of Schools having PCs with Functional Integrated Teaching Learning Devices 
