State/UT,Number of Schools having - Primary,Number of Schools having - Upper Primary,Number of Schools having - Secondary,Number of Schools having - Higher Secondary,Schools with Peer Learning - Primary,Schools with Peer Learning  - Upper Primary,Schools with Peer Learning - Secondary,Schools with Peer Learning  - Higher Secondary,Category
Andaman and Nicobar Islands,185,57,46,56,156,51,40,42,Peer Learning
Andhra Pradesh,34642,4285,6525,1227,28777,3302,5286,705,Peer Learning
Arunachal Pradesh,1685,1002,232,134,333,254,102,56,Peer Learning
Assam,34948,8585,4250,1548,23032,4556,2308,680,Peer Learning
Bihar,40563,25993,2516,7228,8002,5928,565,1212,Peer Learning
Chandigarh,8,12,54,56,7,12,53,54,Peer Learning
Chhattisgarh,30892,13284,1949,3035,20782,8918,1193,1702,Peer Learning
Dadra and Nagar Haveli and Daman and Diu,167,163,31,35,162,155,27,28,Peer Learning
Delhi,1671,39,122,1177,1324,28,97,946,Peer Learning
Goa,795,67,400,109,718,45,231,45,Peer Learning
Gujarat,12545,20680,3031,4033,9442,15613,1030,1218,Peer Learning
Haryana,8677,2450,1108,2343,6186,1643,719,1498,Peer Learning
Himachal Pradesh,10563,1952,942,1923,6616,1222,639,1172,Peer Learning
Jammu and Kashmir,12974,7612,1754,834,6485,4504,1035,425,Peer Learning
Jharkhand,21814,12122,1914,1165,9397,5915,969,496,Peer Learning
Karnataka,21240,24635,8554,2360,12875,15060,4679,790,Peer Learning
Kerala,5967,3486,778,1962,4929,2904,649,1600,Peer Learning
Ladakh,355,382,85,44,114,154,43,32,Peer Learning
Lakshadweep,16,9,0,13,16,9,0,11,Peer Learning
Madhya Pradesh,58826,24917,4921,4771,24826,11235,2548,2329,Peer Learning
Maharashtra,46217,24885,12040,6534,22357,11958,4637,2315,Peer Learning
Manipur,2309,605,461,97,367,111,115,42,Peer Learning
Meghalaya,7928,3157,699,171,831,520,162,49,Peer Learning
Mizoram,1277,1015,439,62,47,44,22,8,Peer Learning
Nagaland,1032,617,255,56,272,172,84,19,Peer Learning
Odisha,27438,17508,8610,1323,18788,12295,5146,392,Peer Learning
Puducherry,236,48,91,80,222,44,68,63,Peer Learning
Punjab,12880,2541,1800,2488,11354,2123,1396,1869,Peer Learning
Rajasthan,33781,19498,3758,11911,15518,10171,1944,6229,Peer Learning
Sikkim,481,173,125,104,224,93,85,66,Peer Learning
Tamil Nadu,29274,8526,3692,4467,0,0,0,0,Peer Learning
Telangana,20080,3379,5913,1351,10353,1823,3224,450,Peer Learning
Tripura,2137,1126,609,433,847,516,352,228,Peer Learning
Uttar Pradesh,87964,49339,2065,5769,51281,26480,575,1469,Peer Learning
Uttarakhand,11511,2778,991,1812,6651,1501,554,1037,Peer Learning
West Bengal,67068,6663,2777,6882,34352,2651,1484,3467,Peer Learning
INDIA,650146,293590,83537,77593,337643,152010,42061,32744,Peer Learning
