State/UT,All Management,Government.,Government. Aided,Pvt. Unaided,Others,Category
Andaman and Nicobar Islands,66.8,60.2,100,97.2,0,Percentage of Schools by Management and Availability of Computer Facility
Andhra Pradesh,51.6,37.4,33.7,95.8,63.5,Percentage of Schools by Management and Availability of Computer Facility
Arunachal Pradesh,34,22.7,95.6,89.3,72.3,Percentage of Schools by Management and Availability of Computer Facility
Assam,18.9,17.1,8.4,55.3,2.5,Percentage of Schools by Management and Availability of Computer Facility
Bihar,18.9,9,21.4,71.3,55.1,Percentage of Schools by Management and Availability of Computer Facility
Chandigarh,100,100,100,100,100,Percentage of Schools by Management and Availability of Computer Facility
Chhattisgarh,89.4,91.8,52.8,76.6,42.2,Percentage of Schools by Management and Availability of Computer Facility
Dadra and Nagar Haveli and Daman and Diu,89.1,87.9,100,95.2,100,Percentage of Schools by Management and Availability of Computer Facility
Delhi,100,100,100,100,0,Percentage of Schools by Management and Availability of Computer Facility
Goa,55.3,21.7,94.3,95.7,0,Percentage of Schools by Management and Availability of Computer Facility
Gujarat,98,98.4,99.2,96.6,100,Percentage of Schools by Management and Availability of Computer Facility
Haryana,93.2,92.6,87.5,95.2,83.5,Percentage of Schools by Management and Availability of Computer Facility
Himachal Pradesh,40.5,31.3,0,94.3,0,Percentage of Schools by Management and Availability of Computer Facility
Jammu and Kashmir,33.4,22.6,100,78.1,65.7,Percentage of Schools by Management and Availability of Computer Facility
Jharkhand,85.2,89,37.5,90.6,71.2,Percentage of Schools by Management and Availability of Computer Facility
Karnataka,56.4,40.7,78,88.5,81.8,Percentage of Schools by Management and Availability of Computer Facility
Kerala,98.3,96.2,99.9,98.6,96.3,Percentage of Schools by Management and Availability of Computer Facility
Ladakh,46.2,41.1,35.7,87.5,0,Percentage of Schools by Management and Availability of Computer Facility
Lakshadweep,100,100,0,0,0,Percentage of Schools by Management and Availability of Computer Facility
Madhya Pradesh,26,12.4,40,67.1,25.4,Percentage of Schools by Management and Availability of Computer Facility
Maharashtra,81.4,72.3,93.4,97.3,93,Percentage of Schools by Management and Availability of Computer Facility
Manipur,37,21.5,8.6,93.2,70.4,Percentage of Schools by Management and Availability of Computer Facility
Meghalaya,18.3,11.2,23.3,31.5,29.9,Percentage of Schools by Management and Availability of Computer Facility
Mizoram,53.5,43.2,81.7,71.5,70.2,Percentage of Schools by Management and Availability of Computer Facility
Nagaland,57.4,45.6,0,87.7,100,Percentage of Schools by Management and Availability of Computer Facility
Odisha,26.4,18.3,33.6,77.5,60.8,Percentage of Schools by Management and Availability of Computer Facility
Puducherry,99.6,99.3,100,100,0,Percentage of Schools by Management and Availability of Computer Facility
Punjab,99.6,100,92.4,99.1,64.3,Percentage of Schools by Management and Availability of Computer Facility
Rajasthan,52,36.9,0,83.2,35,Percentage of Schools by Management and Availability of Computer Facility
Sikkim,89.9,88.1,73.7,94.9,0,Percentage of Schools by Management and Availability of Computer Facility
Tamil Nadu,78.4,81,47.8,91.1,79.1,Percentage of Schools by Management and Availability of Computer Facility
Telangana,42.9,27.6,37.6,81.1,20.4,Percentage of Schools by Management and Availability of Computer Facility
Tripura,32.6,28.8,74.4,81.3,19.9,Percentage of Schools by Management and Availability of Computer Facility
Uttar Pradesh,27,8.1,55.8,51.2,25.6,Percentage of Schools by Management and Availability of Computer Facility
Uttarakhand,58.3,49.2,77.1,85.3,52.4,Percentage of Schools by Management and Availability of Computer Facility
West Bengal,18.4,16,61.4,36.6,28.3,Percentage of Schools by Management and Availability of Computer Facility
INDIA,47.5,37.7,68.5,73.3,40.4,Percentage of Schools by Management and Availability of Computer Facility
