Year,Service Provider,Circle,Data Speed(Mbps)
2018,JIO,Andhra Pradesh,135.6782902
2018,Vi India,Andhra Pradesh,28.51210045
2018,AIRTEL,Andhra Pradesh,73.35362065
2018,BSNL,Andhra Pradesh,20.46389235
2018,JIO,Maharashtra,109.873883
2018,Vi India,Maharashtra,42.73085855
2018,AIRTEL,Maharashtra,56.90392485
2018,BSNL,Maharashtra,31.27733159
2018,JIO,Haryana,99.036801
2018,Vi India,Haryana,53.48214786
2018,AIRTEL,Haryana,72.17043128
2018,BSNL,Haryana,30.66947368
2018,JIO,Punjab,139.5151546
2018,Vi India,Punjab,56.30526186
2018,AIRTEL,Punjab,61.91342281
2018,BSNL,Punjab,28.42994413
2018,JIO,Uttar Pradesh,110.4618466
2018,Vi India,Uttar Pradesh,40.74304292
2018,AIRTEL,Uttar Pradesh,48.99760674
2018,BSNL,Uttar Pradesh,20.22468771
2018,JIO,Madhya Pradesh,153.5323122
2018,Vi India,Madhya Pradesh,56.69146478
2018,AIRTEL,Madhya Pradesh,70.64421657
2018,BSNL,Madhya Pradesh,25.14583684
2018,JIO,Orissa,145.0060718
2018,Vi India,Orissa,62.77753382
2018,AIRTEL,Orissa,64.37216226
2018,BSNL,Orissa,27.4025
2018,JIO,West Bengal,118.4194334
2018,Vi India,West Bengal,54.97243709
2018,AIRTEL,West Bengal,41.22416168
2018,BSNL,West Bengal,30.09173267
2018,JIO,Rajasthan,151.362672
2018,Vi India,Rajasthan,41.52758953
2018,AIRTEL,Rajasthan,56.56522756
2018,BSNL,Rajasthan,30.60859649
2018,JIO,Gujarat,131.7451661
2018,Vi India,Gujarat,63.72309315
2018,AIRTEL,Gujarat,39.98762324
2018,BSNL,Gujarat,14.84328571
2018,JIO,Delhi,90.98612459
2018,Vi India,Delhi,46.60821626
2018,AIRTEL,Delhi,53.65565257
2018,BSNL,Delhi,24.75861111
2018,JIO,Kerala,95.77399606
2018,Vi India,Kerala,45.67375901
2018,AIRTEL,Kerala,58.78521643
2018,BSNL,Kerala,17.28519375
2018,JIO,Jammu & Kashmir,63.01376572
2018,Vi India,Jammu & Kashmir,35.816578
2018,AIRTEL,Jammu & Kashmir,59.94135326
2018,BSNL,Jammu & Kashmir,43.9559322
2018,JIO,Himachal Pradesh,105.3524896
2018,Vi India,Himachal Pradesh,38.51774775
2018,AIRTEL,Himachal Pradesh,67.32859354
2018,BSNL,Himachal Pradesh,31.44578947
2018,JIO,Tamil Nadu,96.11082135
2018,Vi India,Tamil Nadu,53.46768741
2018,AIRTEL,Tamil Nadu,51.66446879
2018,BSNL,Tamil Nadu,19.21678892
2018,JIO,Bihar,172.0077494
2018,Vi India,Bihar,45.60377851
2018,AIRTEL,Bihar,45.73627553
2018,BSNL,Bihar,17.31164647
2018,JIO,Karnataka,118.4062791
2018,Vi India,Karnataka,36.47671883
2018,AIRTEL,Karnataka,48.01976838
2018,BSNL,Karnataka,17.03998374
2018,JIO,Assam,39.69364764
2018,Vi India,Assam,77.44545893
2018,AIRTEL,Assam,63.68524716
2018,BSNL,Assam,20.84448399
2018,JIO,North East,40.47362396
2018,Vi India,North East,43.98615471
2018,AIRTEL,North East,44.11481629
2018,BSNL,North East,13.6549697
2018,JIO,INDIA,121.783446
2018,Vi India,INDIA,47.18660112
2018,AIRTEL,INDIA,54.87010787
2018,BSNL,INDIA,20.47329701
2019,JIO,Andhra Pradesh,101.8406541
2019,Vi India,Andhra Pradesh,32.12478011
2019,AIRTEL,Andhra Pradesh,92.80995488
2019,BSNL,Andhra Pradesh,35.03185691
2019,JIO,Maharashtra,116.8714813
2019,Vi India,Maharashtra,49.05715022
2019,AIRTEL,Maharashtra,67.68040213
2019,BSNL,Maharashtra,30.76230523
2019,JIO,Haryana,46.6952399
2019,Vi India,Haryana,77.93586142
2019,AIRTEL,Haryana,65.96185992
2019,BSNL,Haryana,22.48
2019,JIO,Punjab,108.6732379
2019,Vi India,Punjab,64.7488399
2019,AIRTEL,Punjab,51.23661197
2019,BSNL,Punjab,63.90539474
2019,JIO,Uttar Pradesh,155.3988162
2019,Vi India,Uttar Pradesh,52.58598
2019,AIRTEL,Uttar Pradesh,58.54219554
2019,BSNL,Uttar Pradesh,23.05943885
2019,JIO,Madhya Pradesh,116.3364572
2019,Vi India,Madhya Pradesh,53.62010992
2019,AIRTEL,Madhya Pradesh,74.36539751
2019,BSNL,Madhya Pradesh,21.51685885
2019,JIO,Orissa,163.4087119
2019,Vi India,Orissa,63.19550565
2019,AIRTEL,Orissa,59.74127203
2019,BSNL,Orissa,15.09170455
2019,JIO,West Bengal,117.3911273
2019,Vi India,West Bengal,79.69269021
2019,AIRTEL,West Bengal,47.24530375
2019,BSNL,West Bengal,15.63783333
2019,JIO,Rajasthan,111.4098735
2019,Vi India,Rajasthan,57.9540838
2019,AIRTEL,Rajasthan,60.60346331
2019,BSNL,Rajasthan,25.45391608
2019,JIO,Gujarat,89.71351734
2019,Vi India,Gujarat,75.87195341
2019,AIRTEL,Gujarat,74.41416267
2019,BSNL,Gujarat,30.89970213
2019,JIO,Delhi,197.5539518
2019,Vi India,Delhi,52.4723383
2019,AIRTEL,Delhi,47.53069362
2019,BSNL,Delhi,28.63615625
2019,JIO,Kerala,121.9168177
2019,Vi India,Kerala,53.70622301
2019,AIRTEL,Kerala,57.28654394
2019,BSNL,Kerala,21.98303267
2019,JIO,Jammu & Kashmir,63.05551954
2019,Vi India,Jammu & Kashmir,78.83068118
2019,AIRTEL,Jammu & Kashmir,51.57328757
2019,BSNL,Jammu & Kashmir,27.10211765
2019,JIO,Himachal Pradesh,63.51930355
2019,Vi India,Himachal Pradesh,71.92187524
2019,AIRTEL,Himachal Pradesh,68.64882915
2019,BSNL,Himachal Pradesh,29.7712
2019,JIO,Tamil Nadu,106.7017009
2019,Vi India,Tamil Nadu,61.6210259
2019,AIRTEL,Tamil Nadu,48.96345155
2019,BSNL,Tamil Nadu,27.73818732
2019,JIO,Bihar,90.38663308
2019,Vi India,Bihar,66.98935868
2019,AIRTEL,Bihar,49.10075983
2019,BSNL,Bihar,17.97479532
2019,JIO,Karnataka,153.6653237
2019,Vi India,Karnataka,57.89437134
2019,AIRTEL,Karnataka,42.91777561
2019,BSNL,Karnataka,21.52679224
2019,JIO,Assam,44.0104023
2019,Vi India,Assam,83.45627053
2019,AIRTEL,Assam,83.26069544
2019,BSNL,Assam,18.11347222
2019,JIO,North East,41.33860661
2019,Vi India,North East,59.24728762
2019,AIRTEL,North East,47.937625
2019,BSNL,North East,26.60476712
2019,JIO,INDIA,127.4535486
2019,Vi India,INDIA,56.70600818
2019,AIRTEL,INDIA,59.84704487
2019,BSNL,INDIA,28.00033203
2020,JIO,Andhra Pradesh,64.62182241
2020,Vi India,Andhra Pradesh,56.22567729
2020,AIRTEL,Andhra Pradesh,87.12970811
2020,BSNL,Andhra Pradesh,21.71139301
2020,JIO,Maharashtra,118.9032926
2020,Vi India,Maharashtra,60.69537175
2020,AIRTEL,Maharashtra,64.82249913
2020,BSNL,Maharashtra,26.36092827
2020,JIO,Haryana,51.11347475
2020,Vi India,Haryana,71.05416871
2020,AIRTEL,Haryana,59.68726917
2020,BSNL,Haryana,11.28
2020,JIO,Punjab,91.52430262
2020,Vi India,Punjab,65.19767651
2020,AIRTEL,Punjab,51.41576502
2020,BSNL,Punjab,21.745
2020,JIO,Uttar Pradesh,121.8133898
2020,Vi India,Uttar Pradesh,66.11141312
2020,AIRTEL,Uttar Pradesh,47.14378973
2020,BSNL,Uttar Pradesh,18.13747197
2020,JIO,Madhya Pradesh,162.7504123
2020,Vi India,Madhya Pradesh,71.29839042
2020,AIRTEL,Madhya Pradesh,68.51912272
2020,BSNL,Madhya Pradesh,19.36191013
2020,JIO,Orissa,190.5788395
2020,Vi India,Orissa,50.34614077
2020,AIRTEL,Orissa,42.94268442
2020,BSNL,Orissa,18.40983871
2020,JIO,West Bengal,116.0659365
2020,Vi India,West Bengal,82.59114203
2020,AIRTEL,West Bengal,45.52440077
2020,BSNL,West Bengal,11.59846154
2020,JIO,Rajasthan,157.0757038
2020,Vi India,Rajasthan,59.94763734
2020,AIRTEL,Rajasthan,59.21635077
2020,BSNL,Rajasthan,21.44418301
2020,JIO,Gujarat,114.2637087
