S. No.,Duration,Wireless Customers - Cumulative (Lakhs),Wireline Customers - Cumulative (Lakhs),Data Consumption - Cumulative (TB),WiFi Hotspot - Cumulative (No.),No. of Digital Payments (Lakhs)
1,Apr-14,35.373,32.579,10795.000,0,5.075
2,May-14,35.327,32.696,11086.000,0,5.520
3,Jun-14,35.289,32.762,11011.000,0,5.146
4,Jul-14,35.231,32.839,8436.000,0,5.917
5,Aug-14,35.325,32.939,11888.000,0,4.779
6,Sep-14,35.302,33.082,11810.000,0,6.094
7,Oct-14,35.276,33.201,12481.000,0,5.608
8,Nov-14,35.247,33.393,12682.000,0,5.387
9,Dec-14,35.216,33.608,12971.000,0,6.010
10,Jan-15,35.208,33.854,13502.000,0,5.651
11,Feb-15,35.207,34.041,12643.000,0,5.174
12,Mar-15,35.517,34.235,14777.000,0,5.931
13,Apr-15,34.343,35.462,14718.000,0,5.710
14,May-15,34.448,35.404,14889.000,0,6.171
15,Jun-15,34.605,35.356,15180.000,0,5.721
16,Jul-15,34.829,35.333,16034.000,0,6.199
17,Aug-15,35.012,35.311,16154.000,0,5.645
18,Sep-15,35.118,35.299,15257.000,0,5.442
19,Oct-15,35.181,35.251,16187.000,0,5.818
20,Nov-15,35.224,35.207,14816.000,0,5.699
21,Dec-15,35.276,35.178,16779.000,0,5.796
22,Jan-16,35.368,35.127,17424.000,0,5.767
23,Feb-16,35.475,35.083,16869.000,0,5.717
24,Mar-16,35.609,35.041,18887.000,0,6.381
25,Apr-16,35.709,35.026,17840.000,0,6.083
26,May-16,35.817,35.009,18431.000,0,6.421
27,Jun-16,35.904,34.999,18125.000,0,6.115
28,Jul-16,35.972,34.961,18431.000,0,6.399
29,Aug-16,36.071,34.920,17641.000,0,6.254
30,Sep-16,36.127,34.892,16710.000,0,6.187
31,Oct-16,36.205,34.858,17449.000,0,6.131
32,Nov-16,36.238,34.821,16361.000,0,5.979
33,Dec-16,36.259,34.781,17074.000,0,6.647
34,Jan-17,36.269,34.737,15929.000,35,6.600
35,Feb-17,36.270,34.691,14663.000,45,5.835
36,Mar-17,36.273,34.624,16379.000,98,7.118
37,Apr-17,36.252,34.545,15121.000,114,7.318
38,May-17,36.230,34.446,15652.000,114,7.667
39,Jun-17,36.228,34.342,16425.000,114,7.318
40,Jul-17,36.181,34.239,17055.000,148,8.348
41,Aug-17,36.123,34.141,16903.000,155,4.974
