TITLE,IDENTIFIER
Crude Birth Rate - India,DMCBRINABSGLA
Total Population by Sex - India,DMPOPINABSGLA
Crude Death Rate - India,DMCDRINABSGLA
Infant Mortality Rate  - India,DMIMRINABSGLA
Life Expectancy at Birth - India,DMLEBINABSGLA
Median Age of Population - India,DMMEAINABSGLA
Population Density - India,DMPODINABSGLA
Total Fertility Rate - India,DMTFRINABSGLA
Sex Ratio of the Total Population - India,DMSERINABSGLA
"Percentage distribution of workers by usual employment status - All Areas, Both Genders - Helper in household enterprise",LAPLEMCATH11A
"Percentage distribution of workers by usual employment status - All Areas, Both Genders - Own account employer",LAPLEMCATO11A
"Percentage distribution of workers by usual employment status - All Areas, Both Genders - Regular wage, salaried",LAPLEMCATR11A
"Percentage distribution of workers by usual employment status - All Areas, Both Genders - Self Employed",LAPLEMCATS11A
"Percentage distribution of workers by usual employment status - Rural Areas, Female - Helper in household enterprise",LAPLEMCRFH11A
"Percentage distribution of workers by usual employment status - Rural Areas, Female - Own account employer",LAPLEMCRFO11A
"Percentage distribution of workers by usual employment status - Rural Areas, Female - Regular wage, salaried",LAPLEMCRFR11A
"Percentage distribution of workers by usual employment status - Rural Areas, Female - Self Employed",LAPLEMCRFS11A
"Percentage distribution of workers by usual employment status - Rural Areas, Male - Casual labour",LAPLEMCRMC11A
"Percentage distribution of workers by usual employment status - Rural Areas, Male - Helper in household enterprise",LAPLEMCRMH11A
"Percentage distribution of workers by usual employment status - Rural Areas, Male - Own account employer",LAPLEMCRMO11A
"Percentage distribution of workers by usual employment status - Rural Areas, Male - Regular wage, salaried",LAPLEMCRMR11A
"Percentage distribution of workers by usual employment status - Rural Areas, Male - Self Employed",LAPLEMCRMS11A
"Percentage distribution of workers by usual employment status - Rural Areas, Both Genders - Casual labour",LAPLEMCRTC11A
"Percentage distribution of workers by usual employment status - Rural Areas, Both Genders - Helper in household enterprise",LAPLEMCRTH11A
"Percentage distribution of workers by usual employment status - Rural Areas, Both Genders - Regular wage, salaried",LAPLEMCRTR11A
"Percentage distribution of workers by usual employment status - Rural Areas, Both Genders - Self Employed",LAPLEMCRTS11A
"Percentage distribution of workers by usual employment status - Urban Areas, Female - Casual labour",LAPLEMCUFC11A
"Percentage distribution of workers by usual employment status - Urban Areas, Female - Helper in household enterprise",LAPLEMCUFH11A
"Percentage distribution of workers by usual employment status - Urban Areas, Female - Own account employer",LAPLEMCUFO11A
"Percentage distribution of workers by usual employment status - Urban Areas, Female - Regular wage, salaried",LAPLEMCUFR11A
"Percentage distribution of workers by usual employment status - Urban Areas, Female - Self Employed",LAPLEMCUFS11A
"Percentage distribution of workers by usual employment status - Urban Areas, Male - Helper in household enterprise",LAPLEMCUMH11A
"Percentage distribution of workers by usual employment status - Urban Areas, Male - Own account employer",LAPLEMCUMO11A
"Average earnings per month for regular salaried workers - Female, Urban Areas",LAPLAESAFU11A
"Percentage distribution of workers by usual employment status - Rural Areas, Female - Casual labour",LAPLEMCRFC11A
"Percentage distribution of workers by usual employment status - Rural Areas, Both Genders - Own account employer",LAPLEMCRTO11A
"Percentage distribution of workers by usual employment status - Urban Areas, Male - Casual labour",LAPLEMCUMC11A
"Percentage distribution of workers by usual employment status - Urban Areas, Male - Regular wage, salaried",LAPLEMCUMR11A
"Percentage distribution of workers by usual employment status - Urban Areas, Male - Self Employed",LAPLEMCUMS11A
"Percentage distribution of workers by usual employment status - Urban Areas, Both Genders - Casual labour",LAPLEMCUTC11A
"Percentage distribution of workers by usual employment status - Urban Areas, Both Genders - Helper in household enterprise",LAPLEMCUTH11A
"Percentage distribution of workers by usual employment status - Urban Areas, Both Genders - Own account employer",LAPLEMCUTO11A
"Percentage distribution of workers by usual employment status - Urban Areas, Both Genders - Regular wage, salaried",LAPLEMCUTR11A
"Percentage distribution of workers by usual employment status - Urban Areas, Both Genders - Self Employed",LAPLEMCUTS11A
"Labour Force Participation Rate - All Regions - Both Genders, All Age Groups",LAPLLPAAAG11A
"Labour Force Participation Rate - All Regions - Both Genders, (15 - 59 years)",LAPLLPAAFF11A
"Labour Force Participation Rate - All Regions - Both Genders, (15+ age)",LAPLLPAAFP11A
"Labour Force Participation Rate - All Regions - Both Genders, (15 - 29 years)",LAPLLPAAFT11A
"Labour Force Participation Rate - All Regions - Female, All Age Groups",LAPLLPAFAG11A
"Labour Force Participation Rate - All Regions - Female, (15 - 59 years)",LAPLLPAFFF11A
"Labour Force Participation Rate - All Regions - Female, (15+ age)",LAPLLPAFFP11A
"Labour Force Participation Rate - All Regions - Female, (15 - 29 years)",LAPLLPAFFT11A
"Labour Force Participation Rate - All Regions - Male, All Age Groups",LAPLLPAMAG11A
"Labour Force Participation Rate - All Regions - Male, (15 - 59 years)",LAPLLPAMFF11A
"Labour Force Participation Rate - All Regions - Male, (15+ age)",LAPLLPAMFP11A
"Labour Force Participation Rate - All Regions - Male, (15 - 29 years)",LAPLLPAMFT11A
"Labour Force Participation Rate - Rural - Both Genders, All Age Groups",LAPLLPRAAG11A
"Labour Force Participation Rate - Rural - Both Genders, (15+ age)",LAPLLPRAFP11A
"Labour Force Participation Rate - Rural - Both Genders, (15 - 29 years)",LAPLLPRAFT11A
"Labour Force Participation Rate - Rural - Female, All Age Groups",LAPLLPRFAG11A
"Labour Force Participation Rate - Rural - Female, (15 - 59 years)",LAPLLPRFFF11A
"Labour Force Participation Rate - Rural - Female, (15+ age)",LAPLLPRFFP11A
"Labour Force Participation Rate - Rural - Female, (15 - 29 years)",LAPLLPRFFT11A
"Labour Force Participation Rate - Rural - Male, All Age Groups",LAPLLPRMAG11A
"Labour Force Participation Rate - Rural - Male, (15 - 59 years)",LAPLLPRMFF11A
"Labour Force Participation Rate - Rural - Male, (15+ age)",LAPLLPRMFP11A
"Labour Force Participation Rate - Rural - Male, (15 - 29 years)",LAPLLPRMFT11A
"Labour Force Participation Rate - Urban - Both Genders, All Age Groups",LAPLLPUAAG11A
"Labour Force Participation Rate - Urban - Both Genders, (15 - 59 years)",LAPLLPUAFF11A
"Labour Force Participation Rate - Urban - Both Genders, (15+ age)",LAPLLPUAFP11A
"Labour Force Participation Rate - Urban - Both Genders, (15 - 29 years)",LAPLLPUAFT11A
"Labour Force Participation Rate - Urban - Female, All Age Groups",LAPLLPUFAG11A
"Labour Force Participation Rate - Urban - Female, (15 - 59 years)",LAPLLPUFFF11A
"Labour Force Participation Rate - Urban - Female, (15+ age)",LAPLLPUFFP11A
"Labour Force Participation Rate - Urban - Female, (15 - 29 years)",LAPLLPUFFT11A
"Labour Force Participation Rate - Urban - Male, All Age Groups",LAPLLPUMAG11A
"Labour Force Participation Rate - Urban - Male, (15 - 59 years)",LAPLLPUMFF11A
"Labour Force Participation Rate - Urban - Male, (15+ age)",LAPLLPUMFP11A
"Labour Force Participation Rate - Urban - Male, (15 - 29 years)",LAPLLPUMFT11A
"Unemployment Rate - All Regions - Both Genders, All Age Groups",LAPLURAAAG11A
"Unemployment Rate - All Regions - Both Genders, (15 - 59 years)",LAPLURAAFF11A
"Unemployment Rate - All Regions - Both Genders, (15+ age)",LAPLURAAFP11A
"Unemployment Rate - All Regions - Both Genders, (15 - 29 years)",LAPLURAAFT11A
"Unemployment Rate - All Regions - Female, All Age Groups",LAPLURAFAG11A
"Unemployment Rate - All Regions - Female, (15 - 59 years)",LAPLURAFFF11A
"Unemployment Rate - All Regions - Female, (15+ age)",LAPLURAFFP11A
"Unemployment Rate - All Regions - Female, (15 - 29 years)",LAPLURAFFT11A
"Unemployment Rate - All Regions - Male, All Age Groups",LAPLURAMAG11A
"Unemployment Rate - All Regions - Male, (15 - 59 years)",LAPLURAMFF11A
"Unemployment Rate - All Regions - Male, (15+ age)",LAPLURAMFP11A
"Unemployment Rate - All Regions - Male, (15 - 29 years)",LAPLURAMFT11A
"Unemployment Rate - Rural - Both Genders, All Age Groups",LAPLURRAAG11A
"Unemployment Rate - Rural - Both Genders, (15 - 59 years)",LAPLURRAFF11A
"Unemployment Rate - Rural - Both Genders, (15+ age)",LAPLURRAFP11A
"Unemployment Rate - Rural - Both Genders, (15 - 29 years)",LAPLURRAFT11A
"Unemployment Rate - Rural - Female, All Age Groups",LAPLURRFAG11A
"Unemployment Rate - Rural - Female, (15 - 59 years)",LAPLURRFFF11A
"Unemployment Rate - Rural - Female, (15+ age)",LAPLURRFFP11A
"Unemployment Rate - Rural - Female, (15 - 29 years)",LAPLURRFFT11A
"Unemployment Rate - Rural - Male, All Age Groups",LAPLURRMAG11A
"Unemployment Rate - Rural - Male, (15 - 59 years)",LAPLURRMFF11A
"Unemployment Rate - Rural - Male, (15+ age)",LAPLURRMFP11A
"Unemployment Rate - Rural - Male, (15 - 29 years)",LAPLURRMFT11A
"Unemployment Rate - Urban - Both Genders, All Age Groups",LAPLURUAAG11A
"Unemployment Rate - Urban - Both Genders, (15 - 59 years)",LAPLURUAFF11A
"Unemployment Rate - Urban - Both Genders, (15+ age)",LAPLURUAFP11A
"Unemployment Rate - Urban - Both Genders, (15 - 29 years)",LAPLURUAFT11A
"Unemployment Rate - Urban - Female, All Age Groups",LAPLURUFAG11A
"Unemployment Rate - Urban - Female, (15 - 59 years)",LAPLURUFFF11A
"Unemployment Rate - Urban - Female, (15+ age)",LAPLURUFFP11A
"Unemployment Rate - Urban - Female, (15 - 29 years)",LAPLURUFFT11A
"Unemployment Rate - Urban - Male, All Age Groups",LAPLURUMAG11A
"Unemployment Rate - Urban - Male, (15 - 59 years)",LAPLURUMFF11A
"Unemployment Rate - Urban - Male, (15+ age)",LAPLURUMFP11A
"Unemployment Rate - Urban - Male, (15 - 29 years)",LAPLURUMFT11A
"Worker Population Ratio - All Regions - Both Genders, All Age Groups",LAPLWPAAAG11A
"Worker Population Ratio - All Regions - Both Genders, (15 - 59 years)",LAPLWPAAFF11A
"Worker Population Ratio - All Regions - Both Genders, (15+ age)",LAPLWPAAFP11A
"Worker Population Ratio - All Regions - Both Genders, (15 - 29 years)",LAPLWPAAFT11A
"Worker Population Ratio - All Regions - Female, All Age Groups",LAPLWPAFAG11A
"Worker Population Ratio - All Regions - Female, (15 - 59 years)",LAPLWPAFFF11A
"Worker Population Ratio - All Regions - Female, (15+ age)",LAPLWPAFFP11A
"Worker Population Ratio - All Regions - Female, (15 - 29 years)",LAPLWPAFFT11A
"Worker Population Ratio - All Regions - Male, All Age Groups",LAPLWPAMAG11A
"Worker Population Ratio - All Regions - Male, (15 - 59 years)",LAPLWPAMFF11A
"Worker Population Ratio - All Regions - Male, (15+ age)",LAPLWPAMFP11A
"Worker Population Ratio - All Regions - Male, (15 - 29 years)",LAPLWPAMFT11A
"Worker Population Ratio - Rural - Both Genders, All Age Groups",LAPLWPRAAG11A
"Worker Population Ratio - Rural - Both Genders, (15+ age)",LAPLWPRAFP11A
