CATEGORY,SUBCATEGORY,SOURCE,UNIT,FREQUENCY,CURRENCY,IDENTIFIER,TITLE,DATE,INDIA,ANDHRAPRADESH,ARUNACHALPRADESH,ASSAM,BIHAR,CHHATTISGARH,GOA,GUJARAT,HARYANA,HIMACHALPRADESH,JAMMUANDKASHMIR,JHARKHAND,KARNATAKA,KERALA,MADHYAPRADESH,MAHARASHTRA,MANIPUR,MEGHALAYA,MIZORAM,NAGALAND,ODISHA,PUNJAB,RAJASTHAN,SIKKIM,TAMILNADU,TELANGANA,TRIPURA,UTTARPRADESH,UTTARAKHAND,WESTBENGAL,ANDAMANANDNICOBARISLANDS,CHANDIGARH,DELHI,PUDUCHERRY,DAMANDDIU,DADRAANDNAGARHAVELI,LAKSHWADEEP,OLDANDHRAPRADESH,OLDBIHAR,OLDMADHYAPRADESH,OLDUTTARPRADESH
Global Indicators,Total Population by Sex,World Population Prospects,Number,Annually,Null,DMPOPBRABSGLA,Total Population by Sex - Brazil,31-12-2018,210166593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Global Indicators,Total Population by Sex,World Population Prospects,Number,Annually,Null,DMPOPBRABSGLA,Total Population by Sex - Brazil,31-12-2019,211782878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Global Indicators,Total Population by Sex,World Population Prospects,Number,Annually,Null,DMPOPBRABSGLA,Total Population by Sex - Brazil,31-12-2020,213196304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Global Indicators,Total Population by Sex,World Population Prospects,Number,Annually,Null,DMPOPBRABSGLA,Total Population by Sex - Brazil,31-12-2021,214326223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Global Indicators,Total Population by Sex,World Population Prospects,Number,Annually,Null,DMPOPCHABSGLA,Total Population by Sex - China,31-12-2018,1417069469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Global Indicators,Total Population by Sex,World Population Prospects,Number,Annually,Null,DMPOPCHABSGLA,Total Population by Sex - China,31-12-2019,1421864031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Global Indicators,Total Population by Sex,World Population Prospects,Number,Annually,Null,DMPOPCHABSGLA,Total Population by Sex - China,31-12-2020,1424929781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Global Indicators,Total Population by Sex,World Population Prospects,Number,Annually,Null,DMPOPCHABSGLA,Total Population by Sex - China,31-12-2021,1425893465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Global Indicators,Total Population by Sex,World Population Prospects,Number,Annually,Null,DMPOPEUABSGLA,Total Population by Sex - Euro Area,31-12-2018,745359130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Global Indicators,Total Population by Sex,World Population Prospects,Number,Annually,Null,DMPOPEUABSGLA,Total Population by Sex - Euro Area,31-12-2019,746189646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Global Indicators,Total Population by Sex,World Population Prospects,Number,Annually,Null,DMPOPEUABSGLA,Total Population by Sex - Euro Area,31-12-2020,746225357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Global Indicators,Total Population by Sex,World Population Prospects,Number,Annually,Null,DMPOPEUABSGLA,Total Population by Sex - Euro Area,31-12-2021,745173774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Global Indicators,Total Population by Sex,World Population Prospects,Number,Annually,Null,DMPOPFRABSGLA,Total Population by Sex - France,31-12-2018,64277808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Global Indicators,Total Population by Sex,World Population Prospects,Number,Annually,Null,DMPOPFRABSGLA,Total Population by Sex - France,31-12-2019,64399759,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Global Indicators,Total Population by Sex,World Population Prospects,Number,Annually,Null,DMPOPFRABSGLA,Total Population by Sex - France,31-12-2020,64480053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Global Indicators,Total Population by Sex,World Population Prospects,Number,Annually,Null,DMPOPFRABSGLA,Total Population by Sex - France,31-12-2021,64531444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Global Indicators,Total Population by Sex,World Population Prospects,Number,Annually,Null,DMPOPGEABSGLA,Total Population by Sex - Germany ,31-12-2018,82896696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Global Indicators,Total Population by Sex,World Population Prospects,Number,Annually,Null,DMPOPGEABSGLA,Total Population by Sex - Germany ,31-12-2019,83148141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Global Indicators,Total Population by Sex,World Population Prospects,Number,Annually,Null,DMPOPGEABSGLA,Total Population by Sex - Germany ,31-12-2020,83328988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Global Indicators,Total Population by Sex,World Population Prospects,Number,Annually,Null,DMPOPGEABSGLA,Total Population by Sex - Germany ,31-12-2021,83408555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Global Indicators,Total Population by Sex,World Population Prospects,Number,Annually,Null,DMPOPIDABSGLA,Total Population by Sex - Indonesia,31-12-2018,267066843,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Global Indicators,Total Population by Sex,World Population Prospects,Number,Annually,Null,DMPOPIDABSGLA,Total Population by Sex - Indonesia,31-12-2019,269582878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Global Indicators,Total Population by Sex,World Population Prospects,Number,Annually,Null,DMPOPIDABSGLA,Total Population by Sex - Indonesia,31-12-2020,271857971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Global Indicators,Total Population by Sex,World Population Prospects,Number,Annually,Null,DMPOPIDABSGLA,Total Population by Sex - Indonesia,31-12-2021,273753191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
