CATEGORY,SUBCATEGORY,SOURCE,UNIT,FREQUENCY,CURRENCY,IDENTIFIER,TITLE,DATE,INDIA,ANDHRAPRADESH,ARUNACHALPRADESH,ASSAM,BIHAR,CHHATTISGARH,GOA,GUJARAT,HARYANA,HIMACHALPRADESH,JAMMUANDKASHMIR,JHARKHAND,KARNATAKA,KERALA,MADHYAPRADESH,MAHARASHTRA,MANIPUR,MEGHALAYA,MIZORAM,NAGALAND,ODISHA,PUNJAB,RAJASTHAN,SIKKIM,TAMILNADU,TELANGANA,TRIPURA,UTTARPRADESH,UTTARAKHAND,WESTBENGAL,ANDAMANANDNICOBARISLANDS,CHANDIGARH,DELHI,PUDUCHERRY,DAMANDDIU,DADRAANDNAGARHAVELI,LAKSHWADEEP,OLDANDHRAPRADESH,OLDBIHAR,OLDMADHYAPRADESH,OLDUTTARPRADESH
Inflation,CPI,CSO,Index,Monthly,NA,MOINCPAALL12M,CPI - All Commodities (2012 series),2018-01-31,136.9,141.4,,136.3,139.3,138.2,139.2,132.9,133.8,138.8,142.1,139.1,139.8,141.4,133.7,134,152,136.8,131.9,142.9,139,134.1,137.8,144.3,139.4,138.6,143.3,134.2,132.2,137.7,138.8,131.9,137.6,136.7,148.6,131.1,131.4,,,,
Inflation,CPI,CSO,Index,Monthly,NA,MOINCPAALL12M,CPI - All Commodities (2012 series),2018-02-28,136.4,139.7,,135.6,138.4,137.6,139.7,132.1,133.5,138.6,142.6,137.8,139,141.1,132.7,134,151.5,136.3,131.9,143.3,137.9,133.2,136.7,144.6,138.9,138.3,142.8,133.8,131.3,138.2,138.5,130.8,137.8,136.4,149,131.9,130.6,,,,
Inflation,CPI,CSO,Index,Monthly,NA,MOINCPAALL12M,CPI - All Commodities (2012 series),2018-03-31,136.5,139.5,147.9,135.9,138.7,137.3,139.5,132.7,133.7,138.2,142.7,138,139.3,141.5,133,133.8,153.5,136,132.3,143.2,137.9,132.9,137,145.7,139,138.2,143.5,134.1,130.6,138.8,137.8,130.8,137.2,136.1,148.2,131.3,130.5,,,,
Inflation,CPI,CSO,Index,Monthly,NA,MOINCPAALL12M,CPI - All Commodities (2012 series),2018-04-30,137.1,139.8,149.8,136.7,138.8,137.5,140.2,133.5,134.3,138.6,143.3,138.9,140.1,142.4,133.3,134.8,155.5,135.7,132.4,144,138.5,133.5,137.4,147.8,139.9,138.9,144.1,134.7,130.7,139.1,139.5,133.2,136.8,137,148.5,131.3,132.3,,,,
Inflation,CPI,CSO,Index,Monthly,NA,MOINCPAALL12M,CPI - All Commodities (2012 series),2018-05-31,137.8,141.1,150.5,137.4,139.5,138.5,140.5,134.2,134.5,138.2,143.5,139.4,140.7,143.5,133.9,135.3,155.3,136.1,132.6,144.6,139.8,134,137.5,146.1,140.8,139.6,144.1,135.1,131.7,140.2,139.8,132.2,137,137.8,150.1,131.8,133.3,,,,
Inflation,CPI,CSO,Index,Monthly,NA,MOINCPAALL12M,CPI - All Commodities (2012 series),2018-06-30,138.5,141.3,152.1,138,139.7,140.1,141,135.5,136,138.2,144.4,140.6,141.6,144.7,135.4,136.1,155.3,137.1,132.9,145.1,140.5,135.3,138.4,146.7,141.7,140.1,144.8,136,132.2,140.3,140.5,133.7,136.8,139.5,150.2,133.4,134.6,,,,
Inflation,CPI,CSO,Index,Monthly,NA,MOINCPAALL12M,CPI - All Commodities (2012 series),2018-07-31,139.8,142.7,154.9,139.2,140.8,142.1,141.1,136.8,137.2,138.9,145.6,143.1,142.2,145.7,136.9,136.6,155.4,138.2,133.2,146.4,142.5,136.6,140.4,146.7,142.3,141.6,146.3,137.7,134,141.2,141.7,135,139.5,139.8,150.7,134.7,135.4,,,,
Inflation,CPI,CSO,Index,Monthly,NA,MOINCPAALL12M,CPI - All Commodities (2012 series),2018-08-31,140.4,143,156.8,140,141.8,143.4,141.2,137.4,138,139.9,146.1,143.4,142.5,146.2,137.5,137.2,155.8,139.2,133.1,146.8,143.2,137,141,146.3,142.4,141.9,147,138.5,134.4,142.5,140.4,135.4,140.2,140.2,151.2,135.6,137.3,,,,
Inflation,CPI,CSO,Index,Monthly,NA,MOINCPAALL12M,CPI - All Commodities (2012 series),2018-09-30,140.2,140.9,160.8,140.9,142.6,144.4,141.5,137.3,138.4,138.7,146.9,142.7,142.7,144.5,137.2,137,157.2,139.1,133.9,147.2,143.4,138.1,140.3,147.9,141.8,142.3,149.2,138.6,134.7,142.5,140.5,136.8,140.2,140.4,150.4,134,139.9,,,,
Inflation,CPI,CSO,Index,Monthly,NA,MOINCPAALL12M,CPI - All Commodities (2012 series),2018-10-31,140.7,138.8,161.3,142.3,144.3,142.5,141.5,137,137,136.1,148.4,143.4,144.3,145.3,137.7,137.8,157.3,138.1,133.7,148.6,143.1,137.8,140.6,149.7,142.8,142.3,148.9,139,136.5,142.6,144.9,136.9,141.4,141.5,145.4,135.4,140.5,,,,
