District,Population_Male,Population_Female,Population_Total,Percentage Share to Total Population,Rank
Chikkodi,207954,199894,407848,7.42,1
Athani,216169,207030,423199,7.7,2
Raibag,235319,225329,460648,8.38,3
Gokak,229519,227456,456975,8.32,4
Hukkeri,228529,226586,455115,8.28,5
Belagavi,577658,559519,1137177,20.69,6
Khanapur,148709,145180,293889,5.35,7
Savadatti,203298,198098,401396,7.3,8
Bailhongal,148715,145860,294575,5.36,9
Ramadurg,149097,145355,294452,5.36,10
Kitthuru,70389,69005,139394,2.54,11
Nippani,158096,153891,311987,5.68,12
Kagavada,88655,84929,173584,3.16,13
Mudalagi,123287,121840,245127,4.46,14
Jamakhandi,152950,151554,304504,13.84,1
Bilagi,90568,90568,181136,8.23,2
Mudhol,147861,148091,295952,13.45,3
Badami,140668,137983,278651,12.67,4
Bagalkote,168491,166949,335440,15.25,5
Hungund,91444,89967,181411,8.25,6
Guledagudda,51701,51344,103045,4.68,7
Ilkal,98662,97614,196276,8.92,8
Rabakavi Banahatti,163541,159648,323189,14.69,9
Bijapur,293528,279884,573412,21.43,1
Indi,191387,176587,367974,13.75,2
Sindagi,174046,165395,339441,12.69,3
Basavan Bagewadi,106300,103465,209765,7.84,4
Muddebihal,111932,108433,220365,8.24,5
Nidagundi,54382,52692,107074,4,6
Babaleshwara,80274,78130,158404,5.92,7
Chadachana,77124,72434,149558,5.59,8
Talikote,82697,79642,162339,6.07,9
Tikota,79542,74700,154242,5.77,10
Kolhara,50976,49280,100256,3.75,11
Devara Hipparagi,67557,65075,132632,4.96,12
Aland,192787,182509,375296,12.18,1
Afzalpur,134552,127684,262236,8.51,2
Gulbarga,449455,435975,885430,28.74,3
Chincholi,125838,125137,250975,8.15,4
Sedam,129246,130885,260131,8.44,5
Chittapur,146115,146432,292547,9.5,6
Jevargi,108972,107976,216948,7.04,7
Kalagi,66116,65844,131960,4.28,8
Kamalapura,79004,76905,155909,5.06,9
Yadrami,72845,70711,143556,4.66,10
Shahbadha,53379,52199,105578,3.43,11
Basavakalyan,172079,164543,336622,17.17,1
Bhalki,159820,153246,313066,15.97,2
Aurad,90765,86961,177726,9.06,3
Bidar,305786,289743,595529,30.37,4
Humnabad,103779,102848,206627,10.54,5
Chittaguppa,76864,74441,151305,7.72,6
Kamalanagara,67356,64126,131482,6.71,7
Hulasuru,24433,23893,48326,2.46,8
Lingasugur,203293,204567,407860,17.26,1
Devdurga,186532,190937,377469,15.98,2
Raichur,300705,293223,593928,25.14,3
Manvi,96000,93389,189389,8.02,4
Sindhanur,193254,190764,384018,16.25,5
Maski,108852,108179,217031,9.19,6
Sirivara,99075,94093,193168,8.18,7
Yelburga,93190,91411,184601,11.26,1
Kushtagi,169892,165571,335463,20.46,2
Gangavathi,142019,142642,284661,17.36,3
Koppal,225395,220638,446033,27.2,4
Karatagi,74927,74264,149191,9.1,5
Kukanuru,65869,64362,130231,7.94,6
Kanakagiri,55143,54407,109550,6.68,7
Naragund,56069,54130,110199,9.36,1
Rona,80743,80920,161663,13.73,2
Gadag,203527,206904,410431,34.85,3
Shirahatti,50298,48643,98941,8.4,4
Mundargi,76173,75549,151722,12.88,5
Gajendragad,61138,60818,121956,10.35,6
Laxmeshwar,61979,60975,122954,10.44,7
Dharwad,305960,297756,603716,27.94,1
Navalgund,66409,63197,129606,6,2
Hubli,81367,77866,159233,7.37,3
Kalgatgi,89752,84320,174072,8.06,4
Kundgol,95469,90941,186410,8.63,5
Hubballi Nagara,394789,389760,784549,36.31,6
Alnavara,20212,19640,39852,1.84,7
Annigeri,41965,41099,83064,3.84,8
Karwar,83641,83108,166749,10.86,1
Joida,27669,27501,55170,3.59,2
Haliyal,56748,55415,112163,7.31,3
Yellapur,42323,41643,83966,5.47,4
Mundgod,61070,52095,113165,7.37,5
Sirsi,99978,99911,199889,13.02,6
Ankola,57408,57271,114679,7.47,7
Kumta,82566,82032,164598,10.72,8
Siddapur,51143,52460,103603,6.75,9
Honnavar,88179,88677,176856,11.52,10
Bhatkal,85941,86735,172676,11.25,11
Dandelli,35921,35817,71738,4.67,12
Shiggaon,108688,103409,212097,11.82,1
Savanur,93264,88712,181976,10.14,2
Hangal,147497,141833,289330,16.12,3
Haveri,160852,154657,315509,17.58,4
Byadagi,80633,77659,158292,8.82,5
Hirekerur,68336,65809,134145,7.47,6
Ranebennur,194713,186966,381679,21.26,7
Ratteehalli,62420,59531,121951,6.79,8
Hadagali,117866,114900,232766,6.75,1
Hagaribommanahalli,109001,106291,215292,6.24,2
Hospet,236626,237541,474167,13.74,3
Siraguppa,157806,147596,305402,8.85,4
Ballari,420567,415304,835871,24.23,5
Sonduru,191172,193295,384467,11.14,6
Kudligi,132108,127117,259225,7.51,7
Kurugodu,67810,67894,135704,3.93,8
Kotturu,57111,55012,112123,3.25,9
Kampli,74229,75213,149442,4.33,10
Harapanahalli,176603,169077,345680,10.02,11
Molakalmuru,78036,76391,154427,8.41,1
Challakere,202712,199221,401933,21.9,2
Chitradurga,238408,240311,478719,26.09,3
Holalkere,113862,112520,226382,12.34,4
Hosadurga,130192,127099,257291,14.02,5
Hiriyur,157041,159347,316388,17.24,6
Harihar,129304,150288,279592,15.45,1
Jagaluru,95492,88740,184232,10.18,2
Davanagere,422995,350717,773712,42.74,3
Honnali,81076,79207,160283,8.85,4
Channagiri,146558,176554,323112,17.85,5
Nyamati,42219,46983,89202,4.93,6
Sagara,106400,105941,212341,11.24,1
Soraba,109572,109445,219017,11.6,2
Shikaripura,134341,134300,268641,14.22,3
Hosanagar,61075,60792,121867,6.45,4
Thirthahalli,70551,70145,140696,7.45,5
Shimoga,292873,292679,585552,31,6
Bhadravathi,170500,170163,340663,18.04,7
