University,Vacancies 2021,Filled up posts 2021-22,Appointed 2017-21,Adhoc,Guest Faculty,Contract basis,Re- employed,Sanctioned Posts,Name of the State
Total,6481,433,3507,70,1828,737,29,19349,Total
Central University of Andhra Pradesh,0,0,0,0,15,2,1,0,Andhra Pradesh
Central Tribal University of Andhra Pradesh,0,0,0,0,33,1,0,0,Andhra Pradesh
National Sanskrit University,3,2,47,0,44,0,0,109,Andhra Pradesh
Central University of South Bihar,58,0,83,0,0,1,1,214,Bihar
Mahatma Gandhi Central University,23,0,63,0,6,0,0,140,Bihar
Guru Ghasidas Vishwavidyalaya,124,0,117,0,0,113,0,435,Chhattisgarh
University of Delhi,859,0,188,58,213,0,0,1706,Delhi
Jamia Millia Islamia,211,0,80,0,43,32,0,859,Delhi
Jawaharlal Nehru University,317,0,123,0,18,1,1,926,Delhi
Shri Lal Bahadur Shastri National Sanskrit University,35,0,27,0,25,0,0,139,Delhi
Central Sanskrit University,16,0,103,0,112,67,0,256,Delhi
Central University of Gujarat,68,1,24,0,1,4,2,162,Gujarat
Central University of Haryana,129,0,100,0,29,38,0,266,Haryana
Central University of Himachal Pradesh,97,0,65,0,0,0,0,220,Himachal Pradesh
Central University of Jammu,58,0,22,0,49,0,0,157,Jammu and Kashmir
Central University of Kashmir,115,0,34,0,23,84,1,195,Jammu and Kashmir
Central University of Jharkhand,61,0,47,0,0,32,0,179,Jharkhand
Central University of Karnataka,91,0,70,0,21,53,0,206,Karnataka
Central University of Kerala,81,0,4,0,40,6,0,192,Kerala
Dr. Harisingh Gour Vishwavidyalaya,230,0,0,0,85,0,1,413,Madhya Pradesh
Indira Gandhi National Tribal University,80,2,96,0,16,0,2,266,Madhya Pradesh
Mahatma Gandhi Antarrashtriya Hindi Vishwavidyalaya,18,0,42,0,0,0,0,128,Maharashtra
Central University of Odisha,137,0,0,0,22,26,0,154,Odisha
Central University of Punjab,89,0,105,0,1,5,0,217,Punjab
Pondicherry University,199,0,43,0,0,0,0,502,Puducherry
Central University of Rajasthan,100,0,55,0,0,9,0,248,Rajasthan
Central University of Tamil Nadu,50,0,116,0,23,2,0,208,Tamil Nadu
Maulana Azad National Urdu University,86,0,94,0,70,22,0,432,Telangana
University of Hyderabad,153,0,91,2,44,0,3,572,Telangana
The English and Foreign Languages University,58,20,22,0,28,0,0,238,Telangana
Hemvati Nandan Bahuguna Garhwal University,230,47,93,10,83,0,0,484,Uttarakhand
Aligarh Muslim University,359,0,212,0,52,161,1,1716,Uttar Pradesh
Banaras Hindu University,499,202,677,0,20,63,8,2108,Uttar Pradesh
Babasaheb Bhimrao Ambedkar University,31,3,73,0,0,0,1,215,Uttar Pradesh
University of Allahabad,611,0,55,0,191,0,0,863,Uttar Pradesh
Visva Bharati,191,14,50,0,49,0,0,665,West Bengal
Assam University,78,13,76,0,22,0,0,454,Assam
Tezpur University,51,0,62,0,50,0,0,312,Assam
Rajiv Gandhi University,89,29,37,0,61,0,0,276,Arunachal Pradesh
Manipur University,119,0,97,0,138,2,0,371,Manipur
North Eastern Hill,175,0,0,0,48,0,0,467,Meghalaya
Mizoram University,58,35,128,0,54,1,0,434,Mizoram
Nagaland University-,80,0,32,0,36,1,0,270,Nagaland
Sikkim University,73,0,44,0,36,7,7,229,Sikkim
Tripura University,143,0,10,0,27,4,0,302,Tripura
Indira Gandhi National Open University,148,65,0,0,0,0,0,444,Delhi
