Sl. No.,Name of the Colleges,No. of Ad-Hoc Teachers as on 31.1.2022
1,Acharya Narendra Dev College,57
2,Aditi Mahavidyalaya,40
3,Aryabhatta College,39
4,Atma Ram Sanatan Dharma College,63
5,"Bhagini Nivedita College, Kair",36
6,Bharti College,53
7,Bhaskaracharya Coll. of Applied Sci.,55
8,Bhim Rao Ambedkar College,51
9,College of Vocational Studies,66
10,Daulat Ram College,121
11,Deen Dayal Upadhyaya college,26
12,Delhi College of Arts & Commerce,41
13,Deshbandhu College (Morning),127
14,Dyal Singh College,99
15,Dyal Singh College (Evening),65
16,Gargi College,98
17,Hans Raj College,64
18,Hindu College,62
19,Indira Gandhi Inst. of Phy. Edu. and Sports Sci.,0
20,Indraprastha College for Women,87
21,Institute of Home Economics,44
22,Janki Devi Memorial College,83
23,Jesus & Mary College,72
24,Kalindi College for Women,120
25,Kamla Nehru College for Women,72
26,Keshav Mahavidyalaya,53
27,Kirori Mal College,78
28,Lady Irwin College,61
29,Lady Shri Ram College for Women,79
30,Lakshmi Bai College for Women,79
31,Maharaja Agarsen College,55
32,Maharshi Valmiki College of Education,4
33,Maitreyi College for Women,83
34,Mata Sundri College for Women,90
35,Miranda House,74
36,Moti Lal Nehru College,65
37,Moti Lal Nehru College (Evening),44
38,P.G.D.A.V. College,72
39,P.G.D.A.V. College (Evening),36
40,Rajdhani College,70
41,Ram Lal Anand College,53
42,Ramanujam College,62
43,Ramjas College,137
44,Satyawati College,42
45,Satyawati College (Evening),69
46,School of Open Learning,9
47,Shaheed Bhagat Singh College,69
48,Shaheed Bhagat Singh College (Evening),65
49,Shaheed Rajguru College of Applied Sciences For Women.,89
50,Shaheed Sukhdev College of Business Studies,9
51,Shivaji College,109
52,Shri Ram College of Commerce,81
53,Shyam Lal College,52
54,Shyam Lal College (Evening),24
55,Shyama Prasad Mukherji College for Women,111
56,Sri Aurobindo College,77
57,Sri Aurobindo College (Evening),29
58,Sri Guru Gobind Singh College of Commerce,36
59,Sri Guru Nanak Dev Khalsa College,50
60,Sri Guru Tegh Bahadur Khalsa College,65
61,Sri Venkateswara College,131
62,St. Stephen's College,38
63,Swami Shraddhanand College,87
64,U.C.M.S.,0
65,V. P. Chest Institute,1
66,Vivekananda College,54
67,Zakir Husain DelhiCollege,95
68,Zakir Husain Post Graduate Evening College,39
Total,Total,4267
