State/UTs,2017-18 - Rural,2017-18 - Urban,2018-19 - Rural,2018-19 - Urban,2019-20 - Rural,2019-20 - Urban,2020-21 - Rural,2020-21 - Urban,2021-22 - Rural,2021-22 - Urban
Andaman and Nicobar Islands,4,0,20,0,0,0,0,0,3,1
Andhra Pradesh,8107,1148,8301,859,10841,1247,12107,1159,11516,870
Arunachal Pradesh,825,10,683,8,797,4,756,1,768,1
Assam,2638,25,3348,35,4029,40,4663,52,3319,42
Bihar,3092,238,3366,334,3394,247,4487,294,4914,313
Chhattisgarh,2851,145,3979,226,4359,142,4849,173,5329,151
Dadra and Nagar Haveli,0,0,0,0,0,0,1,1,0,1
Daman and Diu,1,0,0,1,0,2,0,0,0,0
Delhi,1,15,1,12,0,12,1,10,0,19
Goa,222,14,223,16,223,12,214,14,225,18
Gujarat,861,135,1108,167,1337,203,1152,217,1363,294
Haryana,313,19,437,24,453,18,606,32,784,57
Himachal Pradesh,1487,7,1563,3,1635,3,2066,4,3022,17
Jammu and Kashmir,1660,73,2116,114,2087,131,2061,145,2286,162
Jharkhand,8153,246,6023,177,6050,140,6617,163,7117,205
Karnataka,4737,338,3976,364,5491,1024,5947,927,6915,933
Kerala,343,19,326,25,289,17,311,23,290,20
Ladakh,0,0,0,0,65,1,68,3,67,1
Madhya Pradesh,17446,1052,19593,1484,16106,979,16974,913,15919,711
Maharashtra,3410,342,3186,313,3211,255,4058,319,5426,480
Manipur,391,5,283,8,275,4,69,2,143,5
Meghalaya,983,29,969,26,981,25,1093,29,1290,30
Mizoram,83,10,90,10,115,7,53,8,48,13
Nagaland,19,0,25,0,24,0,19,0,28,1
Odisha,1597,117,2813,384,1345,162,2603,220,2979,190
Puducherry,0,0,2,1,0,0,0,0,0,0
Punjab,192,79,313,53,17,22,1,0,2444,79
Rajasthan,10077,776,9988,686,8051,734,9367,839,9956,922
Sikkim,5,2,14,1,8,1,23,1,41,2
Tamilnadu,1121,137,2280,351,2132,340,2103,308,2364,338
Telangana,4393,876,4818,1860,4065,717,4860,706,5533,859
Tripura,2,1,39,3,36,1,131,4,204,0
Uttarakhand,2940,105,3117,99,3117,75,3468,86,3327,128
Uttar Pradesh,14826,3894,14535,3148,8608,2056,7202,1967,5914,2126
West Bengal,2027,438,2198,446,4113,643,4225,528,4382,380
India,94807,10295,99733,11238,93254,9264,102155,9148,107916,9369
