State/UTs,2019-20 - Number of Teachers Posts vacant,2020-21 - Number of Teachers Posts vacant,2021-22 - Number of Teachers Posts vacant
Andaman and Nicobar Islands,809,825,1116
Andhra Pradesh,56739,35358,50677
Arunachal Pradesh,502,556,492
Assam,30733,13247,15050
Bihar,271207,279088,253890
Chandigarh,834,874,1256
Chhattisgarh,73542,66541,64824
Dadra Nagar Haveli and Daman and Diu,546,515,451
Delhi,14408,7541,6247
Goa,42,572,202
Gujarat,5709,6393,14767
Haryana,9643,11950,13563
Himachal Pradesh,1843,6519,2120
Jammu and Kashmir,14641,22068,24905
Jharkhand,87117,98190,91934
Karnataka,22200,34079,141358
Kerala,5804,1926,1815
Ladakh,0,221,486
Lakshadweep,59,83,125
Madhya Pradesh,103722,100134,98562
Maharashtra,26200,4359,11723
Manipur,1724,2806,2437
Meghalaya,1906,1,104
Mizoram,110,2,0
Nagaland,643,309,87
Odisha,8285,15071,3614
Puducherry,1280,1353,2138
Punjab,3390,3429,1207
Rajasthan,111092,49914,35996
Sikkim,357,5334,0
Tamil Nadu,5155,3419,8038
Telangana,17686,20024,18588
Tripura,5652,1718,9307
Uttar Pradesh,502045,219386,298490
Uttarakhand,16076,20082,21390
West Bengal,70412,75599,57814
India,1472113,1109486,1254773
