Sl. No.,Name of Central University,Total Number of Teachers appointed from 01.04.2017 to 31.12.2021
1,Central University of Andhra Pradesh,0
2,Central Tribal University of Andhra Pradesh,0
3,National Sanskrit University,47
4,Central University of South Bihar,83
5,Mahatma Gandhi Central University,63
6,Guru Ghasidas Vishwavidyalaya,117
7,University of Delhi,188
8,Jamia Millia Islamia,80
9,Jawaharlal Nehru University,123
10,Shri Lal Bahadur Shastri National Sanskrit University,27
11,Central Sanskrit University,103
12,Central University of Gujarat,24
13,Central University of Haryana,100
14,Central University of Himachal Pradesh,65
15,Central University of Jammu,22
16,Central University of Kashmir,34
17,Central University of Jharkhand,47
18,Central University of Karnataka,70
19,Central University of Kerala,4
20,Dr. Harisingh Gour Vishwavidyalaya,0
21,Indira Gandhi National Tribal University,96
22,Mahatma Gandhi Antarrashtriya Hindi Vishwavidyalaya,42
23,Central University of Odisha,0
24,Central University of Punjab,105
25,Pondicherry University,43
26,Central University of Rajasthan,55
27,Central University of Tamil Nadu,116
28,Maulana Azad National Urdu University,94
29,University of Hyderabad,91
30,The English & Foreign Languages University,22
31,Hemwati Nandan Bahuguna Garhwal University,93
32,Aligarh Muslim University,212
33,Banaras Hindu University,677
34,Babashaheb Bhimrao Ambedkar University,73
35,University of Allahabad,55
36,Visva-bharati,50
37,Assam University,76
38,Tezpur University,62
39,Rajiv Gandhi University,37
40,Manipur University,97
41,North Eastern Hill University,0
42,Mizoram University,128
43,Nagaland University,32
44,Sikkim University,44
45,Tripura University,10
Total,Total,3507
