Sl. No.,Name of the State,Name of the University,No. of Vacancies - (As on 01.10.2021) - Teaching Posts,No. of Vacancies - (As on 01.10.2021) - Non-Teaching Posts,No. of filled up posts during 2021-22 - (From 01.04.2021 to 30.09.2021) - Teaching Posts,No. of filled up posts during 2021-22 - (From 01.04.2021 to 30.09.2021) - Non-Teaching Posts
1,Andhra Pradesh,Central University of Andhra Pradesh,0,0,0,0
2,Andhra Pradesh,Central Tribal University of Andhra Pradesh,0,0,0,0
3,Andhra Pradesh,National Sanskrit University,3,4,2,5
4,Bihar,Central University of South Bihar,58,33,0,0
5,Bihar,Mahatma Gandhi Central University,23,44,0,0
6,Chhattisgarh,Guru Ghasidas Vishwavidyalaya,124,233,0,0
7,Delhi,University of Delhi,859,2313,0,0
8,Delhi,Jamia Millia Islamia,211,323,0,0
9,Delhi,Jawaharlal Nehru University,317,685,0,0
10,Delhi,Shri Lal Bahadur Shastri National Sanskrit University,35,21,0,0
11,Delhi,Central Sanskrit University,16,96,0,0
12,Gujarat,Central University of Gujarat,68,110,1,3
13,Haryana,Central University of Haryana,129,72,0,0
14,Himachal Pradesh,Central University of Himachal Pradesh,97,60,0,0
15,Jammu and Kashmir,Central University of Jammu,58,34,0,0
16,Jammu and Kashmir,Central University of Kashmir,115,30,0,3
17,Jharkhand,Central University of Jharkhand,61,38,0,0
18,Karnataka,Central University of Karnataka,91,84,0,0
19,Kerala,Central University of Kerala,81,30,0,0
20,Madhya Pradesh,Dr. Harisingh Gour Vishwavidyalaya,230,354,0,0
21,Madhya Pradesh,Indira Gandhi National Tribal University,80,33,2,0
22,Maharashtra,Mahatma Gandhi Antarrashtriya Hindi Vishwavidyalaya,18,34,0,0
23,Odisha,Central University of Odisha,137,90,0,3
24,Punjab,Central University of Punjab,89,49,0,0
25,Puducherry,Pondicherry University,199,294,0,4
26,Rajasthan,Central University of Rajasthan,100,60,0,3
27,Tamil Nadu,Central University of Tamil Nadu,50,37,0,0
28,Telangana,Maulana Azad National Urdu University,86,55,0,0
29,Telangana,University of Hyderabad,153,783,0,3
30,Telangana,The English and Foreign Languages University,58,279,20,0
31,Uttarakhand,Hemvati Nandan Bahuguna Garhwal University,230,92,47,1
32,Uttar Pradesh,Aligarh Muslim University,359,1223,0,57
33,Uttar Pradesh,Banaras Hindu University,499,3354,202,750
34,Uttar Pradesh,Babasaheb Bhimrao Ambedkar University,31,65,3,0
35,Uttar Pradesh,University of Allahabad,611,676,0,0
36,West Bengal,Visva Bharati,191,1190,14,0
37,Assam,Assam University,78,31,13,4
38,Assam,Tezpur University,51,19,0,0
39,Arunachal Pradesh,Rajiv Gandhi University,89,11,29,0
40,Manipur,Manipur University,119,215,0,0
41,Meghalaya,North Eastern Hill University,175,558,0,0
42,Mizoram,Mizoram University,58,67,35,7
43,Nagaland,Nagaland University,80,50,0,0
44,Sikkim,Sikkim University,73,14,0,0
45,Tripura,Tripura University,143,62,0,0
46,Delhi,Indira Gandhi National Open University (ignou) (post Filled Up Data Is From 01.04.2021 To 01.02.2022 & Vacant Post Data Is As On 31.12.2021),148,1284,65,0
Total,Total,Total,6481,15189,433,843
